,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,threshold,adj_p_signi,thr_signi
LYZ.6,2.01380200500616e-08,-3.81578306062084,0.466,0.612,0.000276172806966545,6,LYZ,Down,Highly,Down_Highly
FTL.5,2.03479747454277e-08,-1.98765788290587,1,0.987,0.000279052125658795,6,FTL,Down,Highly,Down_Highly
UBC.4,2.27597976834848e-08,0.53477846876286,0.926,0.844,0.00031212786543131,6,UBC,Up,Highly,Up_Highly
LYAR.1,2.36542806226917e-08,1.78011531505164,0.351,0.175,0.000324394804459594,6,LYAR,Up,Highly,Up_Highly
PSMB1.1,2.45700409406764e-08,0.84544114223876,0.615,0.455,0.000336953541460436,6,PSMB1,Up,Highly,Up_Highly
GHITM.1,2.59079902207156e-08,0.741390589785438,0.534,0.361,0.000355302177886894,6,GHITM,Up,Highly,Up_Highly
HLA-DMA.6,2.68679445588984e-08,-3.10828921782063,0.074,0.273,0.000368466991680732,6,HLA-DMA,Down,Highly,Down_Highly
TRAPPC1.2,2.72839660778623e-08,0.911198341079136,0.615,0.437,0.000374172310791804,6,TRAPPC1,Up,Highly,Up_Highly
ANXA5.5,2.90574082328211e-08,-2.04104739098461,0.101,0.317,0.000398493296504908,6,ANXA5,Down,Highly,Down_Highly
HLA-DQB1.4,3.03740769942564e-08,-3.53988041559782,0.054,0.25,0.000416550091899232,6,HLA-DQB1,Down,Highly,Down_Highly
PSMD8.1,3.3273757758808e-08,0.919603890816513,0.466,0.288,0.000456316313904293,6,PSMD8,Up,Highly,Up_Highly
SNAPIN,3.33295505380606e-08,1.25253178969143,0.25,0.108,0.000457081456078964,6,SNAPIN,Up,Highly,Up_Highly
IRF1,3.3779437783947e-08,1.13398472877766,0.446,0.275,0.00046325120976905,6,IRF1,Up,Highly,Up_Highly
SERPINB1.6,3.75410165645742e-08,0.722830703085068,0.541,0.351,0.00051483750116657,6,SERPINB1,Up,Highly,Up_Highly
DDOST,4.01458350334142e-08,1.51343604323725,0.345,0.179,0.000550559981648242,6,DDOST,Up,Highly,Up_Highly
CTDSP1,4.27528940335605e-08,1.43954664863859,0.25,0.109,0.000586313188776249,6,CTDSP1,Up,Highly,Up_Highly
SASH3,4.59172324863362e-08,1.46519311810283,0.257,0.114,0.000629708926317615,6,SASH3,Up,Highly,Up_Highly
KLRG1.1,5.24801148003895e-08,1.10826966052959,0.25,0.108,0.000719712294372541,6,KLRG1,Up,Highly,Up_Highly
TBCB.1,5.46870742867117e-08,0.72928777336863,0.473,0.295,0.000749978536767964,6,TBCB,Up,Highly,Up_Highly
SH3BP5,5.77762571581574e-08,1.29165784607653,0.25,0.108,0.000792343590666971,6,SH3BP5,Up,Highly,Up_Highly
NAP1L1.4,7.04963354752918e-08,-1.18936787486573,0.365,0.585,0.000966786744708151,6,NAP1L1,Down,Highly,Down_Highly
ZFAS1.2,7.5590539902572e-08,-1.22323991790215,0.277,0.5,0.00103664866422387,6,ZFAS1,Down,Highly,Down_Highly
CARHSP1,8.10615167764695e-08,1.05551551702616,0.257,0.114,0.0011116776410725,6,CARHSP1,Up,Highly,Up_Highly
EIF3G.1,9.22868788675807e-08,0.749636465202104,0.689,0.563,0.00126562225679,6,EIF3G,Up,Highly,Up_Highly
EEF2.2,9.2449166665543e-08,-0.528710056252447,0.682,0.839,0.00126784787165126,6,EEF2,Down,Highly,Down_Highly
RPL39.1,1.00181584190794e-07,-2.07995414230857,0.081,0.284,0.00137389024559255,6,RPL39,Down,Highly,Down_Highly
CCDC107,1.07497038467582e-07,1.05449317902777,0.318,0.16,0.00147421438554442,6,CCDC107,Up,Highly,Up_Highly
TPI1.5,1.07716133410023e-07,0.703885823119919,0.642,0.496,0.00147721905358505,6,TPI1,Up,Highly,Up_Highly
SDHAF2,1.25651276706612e-07,1.19017601021571,0.257,0.119,0.00172318160875448,6,SDHAF2,Up,Highly,Up_Highly
HMOX2.1,1.26038156513033e-07,1.43183273057763,0.324,0.174,0.00172848727841973,6,HMOX2,Up,Highly,Up_Highly
S100A8.6,1.30912449894605e-07,-5.1268795916493,0.101,0.285,0.00179533333785462,6,S100A8,Down,Highly,Down_Highly
BAX.4,1.42188340510322e-07,1.17185599533132,0.453,0.296,0.00194997090175856,6,BAX,Up,Highly,Up_Highly
ATP6AP2.3,1.47852067295096e-07,1.02229470697524,0.412,0.242,0.00202764325088494,6,ATP6AP2,Up,Highly,Up_Highly
ABI1,1.51116775803154e-07,1.42132673946185,0.264,0.122,0.00207241546336445,6,ABI1,Up,Highly,Up_Highly
FAM49B.2,1.60401229170061e-07,1.02991957078914,0.446,0.293,0.00219974245683821,6,FAM49B,Up,Highly,Up_Highly
EVL.4,1.62997542665284e-07,0.704536966724002,0.696,0.521,0.0022353483001117,6,EVL,Up,Highly,Up_Highly
CHCHD2.2,1.700459875758e-07,0.520726858218444,0.777,0.703,0.00233201067361453,6,CHCHD2,Up,Highly,Up_Highly
PSMA5.2,1.91938529669802e-07,0.966031215220174,0.426,0.258,0.00263224499589166,6,PSMA5,Up,Highly,Up_Highly
LDHB.5,1.95229094622459e-07,-0.777304793454548,0.5,0.68,0.0026773718036524,6,LDHB,Down,Highly,Down_Highly
ARPC5.3,1.97128340065299e-07,0.59522148024275,0.662,0.514,0.00270341805565551,6,ARPC5,Up,Highly,Up_Highly
P4HB.4,2.12074818985625e-07,1.1612927210021,0.392,0.227,0.00290839406756886,6,P4HB,Up,Highly,Up_Highly
CD47.2,2.89209806084955e-07,0.796758714785044,0.405,0.239,0.00396622328064907,6,CD47,Up,Highly,Up_Highly
PSENEN.1,3.28585256119414e-07,1.22032154717544,0.27,0.133,0.00450621820242165,6,PSENEN,Up,Highly,Up_Highly
CDC42SE1,3.33584892932009e-07,1.01867564622596,0.365,0.209,0.00457478322166957,6,CDC42SE1,Up,Highly,Up_Highly
PRPF40A,3.53934378851421e-07,1.43370267395312,0.257,0.122,0.00485385607156839,6,PRPF40A,Up,Highly,Up_Highly
CAPZB.2,3.74431585301576e-07,0.57115226320001,0.696,0.547,0.00513495476082582,6,CAPZB,Up,Highly,Up_Highly
HLA-DPA1.6,4.4554174481759e-07,-2.14514692810318,0.372,0.498,0.00611015948842843,6,HLA-DPA1,Down,Highly,Down_Highly
EEF1B2.6,4.93594441051277e-07,-0.568558865453925,0.797,0.888,0.00676915416457721,6,EEF1B2,Down,Highly,Down_Highly
LCP1.4,5.98740926450416e-07,0.983374625421689,0.527,0.377,0.00821113306534101,6,LCP1,Up,Highly,Up_Highly
ACP1.1,6.146209860167e-07,1.09266246633615,0.378,0.226,0.00842891220223303,6,ACP1,Up,Highly,Up_Highly
LINC00936.4,6.40952697989709e-07,-2.15081934347852,0.101,0.288,0.00879002530023087,6,LINC00936,Down,Highly,Down_Highly
HMGN3,6.55713715419352e-07,0.982160141582234,0.385,0.229,0.00899245789326099,6,HMGN3,Up,Highly,Up_Highly
ACTR3.3,6.65646641910799e-07,0.708050100197553,0.554,0.402,0.0091286780471647,6,ACTR3,Up,Highly,Up_Highly
SEPW1.2,6.97483597532293e-07,0.827609299644317,0.399,0.245,0.00956529005655786,6,SEPW1,Up,Highly,Up_Highly
MIEN1.1,7.08216956250438e-07,1.17234974265267,0.318,0.172,0.0097124873380185,6,MIEN1,Up,Highly,Up_Highly
RBM8A.1,7.13506865547254e-07,1.18774271295029,0.466,0.306,0.00978503315411504,6,RBM8A,Up,Highly,Up_Highly
DENND2D,7.44406251890802e-07,1.40474642472814,0.297,0.152,0.0102087873384305,6,DENND2D,Up,Lowly,Up_Lowly
PDIA6.1,8.71617522797727e-07,0.969707518665799,0.378,0.23,0.011953362707648,6,PDIA6,Up,Lowly,Up_Lowly
GPX4.5,8.76298546932113e-07,-0.664358308379113,0.331,0.552,0.012017558272627,6,GPX4,Down,Lowly,Down_Lowly
SPCS2.5,9.04792387910203e-07,0.83887106045415,0.439,0.294,0.0124083228078005,6,SPCS2,Up,Lowly,Up_Lowly
LSM1,9.1132161744586e-07,1.18943484833701,0.291,0.148,0.0124978646616525,6,LSM1,Up,Lowly,Up_Lowly
RBM39.1,9.71466882528652e-07,0.681830554615669,0.507,0.344,0.0133226968269979,6,RBM39,Up,Lowly,Up_Lowly
PGAM1.3,1.08371452409012e-06,1.06712831091098,0.372,0.228,0.0148620609833719,6,PGAM1,Up,Lowly,Up_Lowly
FGR.3,1.12673788009478e-06,1.35151110812647,0.358,0.205,0.0154520832876198,6,FGR,Up,Lowly,Up_Lowly
RGS10.3,1.1969571577063e-06,-1.34661181428419,0.223,0.426,0.0164150704607842,6,RGS10,Down,Lowly,Down_Lowly
CNPY2,1.26122850113362e-06,1.14260697740636,0.311,0.17,0.0172964876645464,6,CNPY2,Up,Lowly,Up_Lowly
TBC1D10C.1,1.42857837580984e-06,0.799089069738461,0.446,0.292,0.0195915238458561,6,TBC1D10C,Up,Lowly,Up_Lowly
CD97.3,1.43060264607675e-06,1.06232153942355,0.365,0.216,0.0196192846882965,6,CD97,Up,Lowly,Up_Lowly
MAP1LC3B.2,1.48830588927095e-06,0.905730276613451,0.392,0.242,0.0204106269654618,6,MAP1LC3B,Up,Lowly,Up_Lowly
VDAC3,1.49910106679456e-06,0.651621988823202,0.297,0.161,0.0205586720300206,6,VDAC3,Up,Lowly,Up_Lowly
HSP90AA1.4,1.57032511854442e-06,0.807902119521877,0.642,0.527,0.0215354386757181,6,HSP90AA1,Up,Lowly,Up_Lowly
MAF1,1.72046218221766e-06,0.720896370630428,0.372,0.218,0.023594418366933,6,MAF1,Up,Lowly,Up_Lowly
FOSB.3,1.76199661427983e-06,-1.0545486818974,0.297,0.496,0.0241640215682336,6,FOSB,Down,Lowly,Down_Lowly
MSN.4,1.86640062589915e-06,0.945536169063947,0.432,0.275,0.025595818183581,6,MSN,Up,Lowly,Up_Lowly
C19orf10.1,1.91293977445789e-06,1.18163481560248,0.351,0.209,0.0262340560669155,6,C19orf10,Up,Lowly,Up_Lowly
MRPS12,1.91670979085745e-06,0.760532914841164,0.264,0.131,0.026285758071819,6,MRPS12,Up,Lowly,Up_Lowly
GOLGA7,2.30955693637242e-06,1.05736370070859,0.277,0.149,0.0316732638254113,6,GOLGA7,Up,Lowly,Up_Lowly
NOP10.5,2.34489989700284e-06,0.861864048870115,0.439,0.286,0.032157957187497,6,NOP10,Up,Lowly,Up_Lowly
ZFAND6.1,2.50848553698105e-06,1.15932714908614,0.291,0.157,0.0344013706541582,6,ZFAND6,Up,Lowly,Up_Lowly
SRI.3,2.64350935867275e-06,0.807457688237214,0.412,0.257,0.0362530873448382,6,SRI,Up,Lowly,Up_Lowly
OSTF1.4,2.78157524790957e-06,0.998302356582125,0.453,0.3,0.0381465229498318,6,OSTF1,Up,Lowly,Up_Lowly
AP1S2.6,2.78500927656784e-06,-1.882845141337,0.135,0.306,0.0381936172188514,6,AP1S2,Down,Lowly,Down_Lowly
EMP3.4,2.80511293003372e-06,0.592987040327046,0.858,0.724,0.0384693187224825,6,EMP3,Up,Lowly,Up_Lowly
LGALS3.6,2.93302508094324e-06,-2.62008776287405,0.095,0.254,0.0402235059600555,6,LGALS3,Down,Lowly,Down_Lowly
RPA2.1,3.0461707036764e-06,0.874480824975725,0.318,0.174,0.0417751850302181,6,RPA2,Up,Lowly,Up_Lowly
RAB7A.2,3.23316747150318e-06,0.827783793032587,0.446,0.303,0.0443396587041946,6,RAB7A,Up,Lowly,Up_Lowly
DNAJB6,3.58403958336568e-06,0.931577740829765,0.318,0.176,0.049151518846277,6,DNAJB6,Up,Lowly,Up_Lowly
FCER1A,1.42858272580019e-267,8.04277239149056,0.833,0.009,1.95915835016238e-263,7,FCER1A,Up,Highly,Up_Highly
SERPINF1,3.99460872330309e-213,8.14902169112962,0.472,0.002,5.47820640313786e-209,7,SERPINF1,Up,Highly,Up_Highly
CLEC10A,2.92632134742007e-160,6.34658315179767,0.694,0.014,4.01315709585188e-156,7,CLEC10A,Up,Highly,Up_Highly
ENHO,1.47168245882954e-121,5.96848213757252,0.389,0.005,2.01826532403884e-117,7,ENHO,Up,Highly,Up_Highly
CLIC2,5.64380925130795e-94,6.47741380415843,0.25,0.002,7.73992000724373e-90,7,CLIC2,Up,Highly,Up_Highly
CD1C,1.27109771919963e-71,4.62056705655968,0.5,0.02,1.74318341211037e-67,7,CD1C,Up,Highly,Up_Highly
CACNA2D3,1.9161215264158e-54,3.96775152663528,0.361,0.013,2.62776906132663e-50,7,CACNA2D3,Up,Highly,Up_Highly
HLA-DQB2,2.83334060691356e-45,3.13532786758969,0.417,0.022,3.88564330832126e-41,7,HLA-DQB2,Up,Highly,Up_Highly
PHACTR1,8.27423846346337e-42,2.69190885698292,0.528,0.039,1.13472906287937e-37,7,PHACTR1,Up,Highly,Up_Highly
CCDC88A,1.37879555733808e-40,3.14237582256053,0.417,0.025,1.89088022733344e-36,7,CCDC88A,Up,Highly,Up_Highly
UPK3A,8.90211895309408e-39,4.26249699007202,0.25,0.009,1.22083659322732e-34,7,UPK3A,Up,Highly,Up_Highly
CD33.1,6.99918007653649e-38,2.84608538603644,0.639,0.065,9.59867555696214e-34,7,CD33,Up,Highly,Up_Highly
PLD4,3.65870033696574e-37,3.74783936053339,0.5,0.041,5.01754164211482e-33,7,PLD4,Up,Highly,Up_Highly
HLA-DQA2.1,5.7746422204544e-35,3.09467217694037,0.778,0.114,7.91934434113116e-31,7,HLA-DQA2,Up,Highly,Up_Highly
HLA-DQA1.4,3.89637991428131e-33,3.33514328982116,0.944,0.207,5.34349541444539e-29,7,HLA-DQA1,Up,Highly,Up_Highly
CPVL.2,7.68959262437364e-33,2.76223275152677,0.75,0.106,1.0545507325066e-28,7,CPVL,Up,Highly,Up_Highly
NDRG2,8.17822096672954e-33,3.55330766993509,0.306,0.017,1.12156122337729e-28,7,NDRG2,Up,Highly,Up_Highly
BASP1,2.30905275915878e-32,3.26566328883057,0.333,0.021,3.16663495391036e-28,7,BASP1,Up,Highly,Up_Highly
LGMN,2.14991651223048e-31,3.74934236743446,0.25,0.012,2.94839550487288e-27,7,LGMN,Up,Highly,Up_Highly
RPS6KA4,3.47628181062646e-31,2.80880579450997,0.444,0.038,4.76737287509313e-27,7,RPS6KA4,Up,Highly,Up_Highly
GSN,8.98083558845763e-31,2.92866246833882,0.472,0.044,1.23163179260108e-26,7,GSN,Up,Highly,Up_Highly
HLA-DOA,2.83123747841521e-30,2.91046159896665,0.278,0.015,3.88275907789861e-26,7,HLA-DOA,Up,Highly,Up_Highly
SULF2,1.98103566494154e-29,3.18625422668546,0.389,0.032,2.71679231090083e-25,7,SULF2,Up,Highly,Up_Highly
RNASE6.1,4.83699022319391e-27,2.21593415873073,0.667,0.094,6.63344839208813e-23,7,RNASE6,Up,Highly,Up_Highly
HLA-DQB1.5,3.46117509725114e-26,2.72225447607223,0.917,0.23,4.74665552837021e-22,7,HLA-DQB1,Up,Highly,Up_Highly
IL1B.1,5.60375312448549e-26,2.58458933523442,0.556,0.072,7.68498703491941e-22,7,IL1B,Up,Highly,Up_Highly
HLA-DMA.7,3.6989487055713e-25,2.03817555915826,0.972,0.253,5.07273825482048e-21,7,HLA-DMA,Up,Highly,Up_Highly
MYCL,1.00625645958863e-24,3.54162410602881,0.25,0.015,1.37998010867985e-20,7,MYCL,Up,Highly,Up_Highly
CD1D,5.877381053365e-24,2.44808568109194,0.444,0.049,8.06024037658476e-20,7,CD1D,Up,Highly,Up_Highly
CST3.7,6.6558841684888e-24,2.58518072169581,1,0.39,9.12787954866553e-20,7,CST3,Up,Highly,Up_Highly
CSF2RA,1.01465700212051e-23,2.91582392901247,0.333,0.029,1.39150061270807e-19,7,CSF2RA,Up,Highly,Up_Highly
HLA-DPA1.7,1.10677660894537e-23,2.70279799379904,1,0.484,1.51783344150768e-19,7,HLA-DPA1,Up,Highly,Up_Highly
KLF4.2,1.41359369219564e-23,2.24741570252433,0.667,0.111,1.9386023894771e-19,7,KLF4,Up,Highly,Up_Highly
HLA-DPB1.7,1.61463506665517e-23,2.91603389380206,1,0.508,2.2143105304109e-19,7,HLA-DPB1,Up,Highly,Up_Highly
HLA-DRB5.7,5.71517618697895e-23,2.57238439609873,0.972,0.339,7.83779262282293e-19,7,HLA-DRB5,Up,Highly,Up_Highly
SEMA4A,8.51804007399482e-23,2.66780703500418,0.361,0.035,1.16816401574765e-18,7,SEMA4A,Up,Highly,Up_Highly
GRN.6,1.15052360235085e-22,1.85208186839986,0.944,0.23,1.57782806826395e-18,7,GRN,Up,Highly,Up_Highly
HLA-DRB1.7,1.23148004929202e-22,2.66657919286239,1,0.45,1.68885173959907e-18,7,HLA-DRB1,Up,Highly,Up_Highly
YIF1B,2.16858503940732e-22,2.28664763593576,0.5,0.065,2.9739975230432e-18,7,YIF1B,Up,Highly,Up_Highly
CD302,2.62189364808112e-22,3.20275993539508,0.472,0.059,3.59566494897844e-18,7,CD302,Up,Highly,Up_Highly
HLA-DMB.2,6.31185771314074e-22,1.84280520317359,0.833,0.17,8.65608166780122e-18,7,HLA-DMB,Up,Highly,Up_Highly
LMO2,1.50358030820683e-21,3.01247851515791,0.278,0.022,2.06201003467485e-17,7,LMO2,Up,Highly,Up_Highly
IGSF6.2,1.76176847315683e-21,2.10803963475498,0.611,0.101,2.41608928408727e-17,7,IGSF6,Up,Highly,Up_Highly
HLA-DRA.7,5.2600501279092e-21,2.50498174388924,1,0.55,7.21363274541467e-17,7,HLA-DRA,Up,Highly,Up_Highly
CCDC50,1.75262533534046e-20,2.79282152187354,0.417,0.051,2.4035503848859e-16,7,CCDC50,Up,Highly,Up_Highly
LILRB4.1,3.46564344875036e-20,3.09912154750418,0.389,0.047,4.75278342561624e-16,7,LILRB4,Up,Highly,Up_Highly
C10orf128,3.84497713123609e-20,2.73771290521562,0.25,0.019,5.27300163777717e-16,7,C10orf128,Up,Highly,Up_Highly
PPP1R14A,8.8645286562379e-20,2.09294126685637,0.25,0.02,1.21568145991646e-15,7,PPP1R14A,Up,Highly,Up_Highly
GNA15,3.66671696395516e-19,2.79252589130658,0.25,0.02,5.02853564436811e-15,7,GNA15,Up,Highly,Up_Highly
ALDH2.1,4.21855844197482e-19,3.31908230051651,0.583,0.103,5.78533104732427e-15,7,ALDH2,Up,Highly,Up_Highly
CD74.5,5.75057905102678e-19,2.25284105811596,1,0.84,7.88634411057812e-15,7,CD74,Up,Highly,Up_Highly
ID1,6.2832827178161e-19,2.77667574989967,0.417,0.056,8.61689391921299e-15,7,ID1,Up,Highly,Up_Highly
SYK,1.27911025669155e-18,1.74564905458541,0.5,0.073,1.75417180602679e-14,7,SYK,Up,Highly,Up_Highly
SPATS2L,1.28932224296494e-18,2.60431781013201,0.278,0.026,1.76817652400212e-14,7,SPATS2L,Up,Highly,Up_Highly
AP1S2.7,2.00036697312896e-18,1.85294678440343,0.944,0.288,2.74330326694906e-14,7,AP1S2,Up,Highly,Up_Highly
LGALS2.2,1.49714421328914e-17,1.77580296612402,0.833,0.204,2.05318357410473e-13,7,LGALS2,Up,Highly,Up_Highly
CTSH.2,1.73122955080637e-17,1.74502445382676,0.75,0.169,2.37420820597585e-13,7,CTSH,Up,Highly,Up_Highly
ZNF385A,2.71260773680929e-17,2.37792748338157,0.361,0.045,3.72007025026025e-13,7,ZNF385A,Up,Highly,Up_Highly
STK32C,2.82425381473803e-17,2.64260971169581,0.25,0.023,3.87318168153174e-13,7,STK32C,Up,Highly,Up_Highly
RNF130.2,5.02142234084429e-17,1.797918761142,0.75,0.17,6.88637859823386e-13,7,RNF130,Up,Highly,Up_Highly
TNFAIP2,1.13370678809637e-16,1.79174303668192,0.417,0.06,1.55476548919536e-12,7,TNFAIP2,Up,Highly,Up_Highly
LAP3.2,2.48825662521459e-16,1.695415478614,0.694,0.147,3.41239513581929e-12,7,LAP3,Up,Highly,Up_Highly
SPINT2,2.86464977319626e-16,1.85983408671095,0.667,0.147,3.92858069896135e-12,7,SPINT2,Up,Highly,Up_Highly
HAVCR2.1,2.38452215938366e-15,1.42859804645133,0.333,0.042,3.27013368937876e-11,7,HAVCR2,Up,Highly,Up_Highly
FUOM,2.43448545772655e-15,2.13911054870948,0.417,0.065,3.33865335672618e-11,7,FUOM,Up,Highly,Up_Highly
TRIM33,2.45069427677862e-15,1.98556990207225,0.278,0.03,3.36088213117421e-11,7,TRIM33,Up,Highly,Up_Highly
FCGRT.6,2.54118500409581e-15,1.39895004572969,0.833,0.223,3.48498111461699e-11,7,FCGRT,Up,Highly,Up_Highly
C12orf45,3.10816590648304e-15,1.5276889161889,0.306,0.036,4.26253872415084e-11,7,C12orf45,Up,Highly,Up_Highly
SPI1.4,4.05002050636387e-15,1.41292976547282,0.806,0.203,5.55419812242741e-11,7,SPI1,Up,Highly,Up_Highly
RGS1,4.38045586803571e-15,1.39562766023665,0.528,0.098,6.00735717742418e-11,7,RGS1,Up,Highly,Up_Highly
BLNK,7.19836559615992e-15,1.49696822041395,0.306,0.037,9.87183857857371e-11,7,BLNK,Up,Highly,Up_Highly
TGFBI.2,7.46004400175521e-15,1.74934796572502,0.528,0.1,1.02307043440071e-10,7,TGFBI,Up,Highly,Up_Highly
GPX1.7,9.3064955366801e-15,1.41859439004714,1,0.413,1.27629279790031e-10,7,GPX1,Up,Highly,Up_Highly
H2AFY.5,1.45687679719402e-14,1.3158584434524,0.917,0.287,1.99796083967187e-10,7,H2AFY,Up,Highly,Up_Highly
CD86.1,1.61928184612899e-14,1.98050375155515,0.361,0.052,2.2206831237813e-10,7,CD86,Up,Highly,Up_Highly
LY86.2,2.24706485698521e-14,1.60934909940681,0.722,0.182,3.08162474486951e-10,7,LY86,Up,Highly,Up_Highly
GSTP1.5,2.38735136914213e-14,1.60364344078827,1,0.451,3.27401366764151e-10,7,GSTP1,Up,Highly,Up_Highly
CAPG.4,5.54323147531502e-14,1.75129630034996,0.778,0.222,7.60198764524702e-10,7,CAPG,Up,Highly,Up_Highly
ARF3,7.99267433457139e-14,1.5784555317762,0.472,0.085,1.09611535824312e-09,7,ARF3,Up,Highly,Up_Highly
LSP1.4,1.1800537423769e-13,1.24099518124346,1,0.536,1.61832570229568e-09,7,LSP1,Up,Highly,Up_Highly
LYZ.7,1.48742248689781e-13,1.80007885927736,0.972,0.599,2.03985119853165e-09,7,LYZ,Up,Highly,Up_Highly
DDAH2,1.6123597932096e-13,2.096429095083,0.389,0.065,2.21119022040765e-09,7,DDAH2,Up,Highly,Up_Highly
CFP.3,1.78676152661692e-13,1.92567338163299,0.75,0.2,2.45036475760244e-09,7,CFP,Up,Highly,Up_Highly
UBL7,2.19495474784923e-13,1.52298458760079,0.472,0.086,3.01016094120043e-09,7,UBL7,Up,Highly,Up_Highly
MALAT1.4,2.62520592277476e-13,-1.38977965987627,1,1,3.60020740249331e-09,7,MALAT1,Down,Highly,Down_Highly
TPM4,3.31961623740139e-13,1.08488327529493,0.583,0.123,4.55252170797227e-09,7,TPM4,Up,Highly,Up_Highly
FAM105A,4.70820291492733e-13,1.93069656521688,0.361,0.057,6.45682947753133e-09,7,FAM105A,Up,Highly,Up_Highly
VCL,6.65038717556574e-13,1.8886248450877,0.278,0.036,9.12034097257086e-09,7,VCL,Up,Highly,Up_Highly
IGFLR1,6.87561007888889e-13,1.46517613906616,0.417,0.072,9.42921166218823e-09,7,IGFLR1,Up,Highly,Up_Highly
MS4A6A.1,8.53438426181298e-13,1.30522932617039,0.611,0.152,1.17040545766503e-08,7,MS4A6A,Up,Highly,Up_Highly
MBOAT7,8.96976110652284e-13,1.76499715192361,0.333,0.05,1.23011303814854e-08,7,MBOAT7,Up,Highly,Up_Highly
RASSF4,1.95600739068241e-12,1.98453830163645,0.306,0.045,2.68246853558186e-08,7,RASSF4,Up,Highly,Up_Highly
VIM.6,2.01269915747588e-12,1.42578605192211,1,0.793,2.76021562456242e-08,7,VIM,Up,Highly,Up_Highly
IFI30.2,2.25398983338874e-12,1.20036961941299,0.639,0.157,3.09112165750932e-08,7,IFI30,Up,Highly,Up_Highly
MGST2,2.81526487147214e-12,2.22233151892852,0.25,0.032,3.8608542447369e-08,7,MGST2,Up,Highly,Up_Highly
ANXA2.4,3.11858759714016e-12,1.45827750849322,0.944,0.428,4.27683103071802e-08,7,ANXA2,Up,Highly,Up_Highly
MNDA.2,3.27928252760944e-12,1.64412441065546,0.528,0.12,4.49720805836359e-08,7,MNDA,Up,Highly,Up_Highly
CYSTM1,3.35136941963164e-12,1.70272582985794,0.333,0.052,4.59606802208284e-08,7,CYSTM1,Up,Highly,Up_Highly
AP2S1.6,5.59160081720642e-12,1.18685780123131,0.917,0.344,7.66832136071688e-08,7,AP2S1,Up,Highly,Up_Highly
APOBR,6.30192975256056e-12,1.89729726036973,0.278,0.039,8.64246646266155e-08,7,APOBR,Up,Highly,Up_Highly
LGALS9.2,6.70072204371015e-12,1.2601532198665,0.667,0.167,9.1893702107441e-08,7,LGALS9,Up,Highly,Up_Highly
LGALS1.6,1.03455991571892e-11,1.42156240285939,0.944,0.469,1.41879546841693e-07,7,LGALS1,Up,Highly,Up_Highly
SAMHD1.5,1.5379952168128e-11,1.28344492634164,0.778,0.235,2.10920664033708e-07,7,SAMHD1,Up,Highly,Up_Highly
WDR41,1.81147374244064e-11,2.04709644688517,0.25,0.033,2.48425509038309e-07,7,WDR41,Up,Highly,Up_Highly
FABP5,1.91125696663182e-11,2.53105085052935,0.25,0.034,2.62109780403888e-07,7,FABP5,Up,Highly,Up_Highly
PAK1.1,2.8743524180812e-11,1.92955051478956,0.306,0.049,3.94188690615656e-07,7,PAK1,Up,Highly,Up_Highly
TYMP.7,3.20836275012143e-11,1.19692659819611,0.944,0.34,4.39994867551652e-07,7,TYMP,Up,Highly,Up_Highly
FDFT1,4.33523071279811e-11,1.44536494634332,0.528,0.121,5.94533539953133e-07,7,FDFT1,Up,Highly,Up_Highly
GABARAP.7,4.86808454507171e-11,1.12456066185413,1,0.48,6.67609114511134e-07,7,GABARAP,Up,Highly,Up_Highly
KIAA0930,5.85660108517425e-11,1.97371924447989,0.25,0.035,8.03174272820797e-07,7,KIAA0930,Up,Highly,Up_Highly
BZW2,6.8323998557287e-11,1.44376475161801,0.417,0.081,9.36995316214634e-07,7,BZW2,Up,Highly,Up_Highly
PTPRE,8.42394319258479e-11,1.33020392503698,0.417,0.083,1.15525956943108e-06,7,PTPRE,Up,Highly,Up_Highly
BID.2,1.27223533796429e-10,1.11686373523966,0.694,0.198,1.74474354248423e-06,7,BID,Up,Highly,Up_Highly
TNFSF13B.2,1.59770265674508e-10,1.35363380973207,0.583,0.155,2.1910894234602e-06,7,TNFSF13B,Up,Highly,Up_Highly
CTSZ.2,1.60744863513932e-10,1.46769513220797,0.472,0.107,2.20445505823007e-06,7,CTSZ,Up,Highly,Up_Highly
FES,1.6442426304121e-10,1.81215726165396,0.278,0.043,2.25491434334716e-06,7,FES,Up,Highly,Up_Highly
AMICA1.5,1.75273394918113e-10,1.46062949490662,0.75,0.255,2.40369933790701e-06,7,AMICA1,Up,Highly,Up_Highly
PLEKHO1,1.91908764061673e-10,1.54916534761439,0.389,0.077,2.63183679034179e-06,7,PLEKHO1,Up,Highly,Up_Highly
FCER1G.7,1.94438004841911e-10,0.752607054053034,0.972,0.349,2.66652279840197e-06,7,FCER1G,Up,Highly,Up_Highly
KLF10,2.27041258504693e-10,2.15457649137902,0.25,0.037,3.11364381913336e-06,7,KLF10,Up,Highly,Up_Highly
TAF10,2.54155161494507e-10,1.11343037469935,0.278,0.044,3.48548388473567e-06,7,TAF10,Up,Highly,Up_Highly
POMP.1,2.90217228469585e-10,1.3382868073854,0.583,0.151,3.98003907123188e-06,7,POMP,Up,Highly,Up_Highly
SCAMP4,2.92479319919624e-10,1.62781558844828,0.25,0.036,4.01106139337773e-06,7,SCAMP4,Up,Highly,Up_Highly
