"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RHOH1",7.60592911426152e-10,0.345910125198358,0.349,0.222,1.04307711872982e-05,"1","RHOH"
"SOCS31",9.58023744712594e-10,0.321826964927654,0.26,0.151,1.31383376349885e-05,"1","SOCS3"
"SLC2A31",1.44237434767102e-09,0.304342310541653,0.343,0.224,1.97807218039603e-05,"1","SLC2A3"
"ACAP11",2.3067819142351e-09,0.276292273966627,0.409,0.274,3.16352071718202e-05,"1","ACAP1"
"TRAF3IP31",2.5533238094405e-09,0.347400940500195,0.577,0.454,3.5016282722667e-05,"1","TRAF3IP3"
"ST13",4.08878584318436e-09,0.276450416829555,0.501,0.373,5.60736090534303e-05,"1","ST13"
"PSIP1",8.93784943689427e-09,0.289812819906357,0.271,0.166,0.000122573667177568,"1","PSIP1"
"EIF3E",1.03323431680248e-08,0.285953266929771,0.464,0.35,0.000141697754206292,"1","EIF3E"
"SOD11",1.33186458182739e-08,0.270558669681662,0.6,0.485,0.000182651908751808,"1","SOD1"
"SNHG8",5.14839192274207e-08,0.381421692705545,0.336,0.229,0.000706050468284847,"1","SNHG8"
"CCDC109B",1.20557577475352e-07,0.328639868673323,0.414,0.299,0.00165332661749698,"1","CCDC109B"
"BTG21",8.3627904657777e-07,0.274881211747958,0.437,0.336,0.0114687308447675,"1","BTG2"
"RPL39",9.83524070862817e-06,0.269036846632687,0.34,0.255,0.134880491078127,"1","RPL39"
"MRPS21",0.00247947781884391,0.31147413984743,0.271,0.214,1,"1","MRPS21"
"S100A9",0,3.73197820777534,0.998,0.231,0,"2","S100A9"
"S100A8",0,3.71803492563634,0.984,0.136,0,"2","S100A8"
"LGALS2",0,2.51759322007177,0.898,0.078,0,"2","LGALS2"
"FCN1",2.48392527121037e-301,2.27621018884012,0.957,0.164,3.4064551169379e-297,"2","FCN1"
"CD14",3.01253008091211e-295,1.96778037357488,0.692,0.036,4.13138375296287e-291,"2","CD14"
"MS4A6A",2.76073024146831e-265,2.00348052295495,0.697,0.053,3.78606545314964e-261,"2","MS4A6A"
"TYROBP",3.88154250602737e-260,2.00898944472831,0.993,0.28,5.32314739276593e-256,"2","TYROBP"
"LYZ",1.47676055144887e-249,2.97154368307509,1,0.527,2.02522942025698e-245,"2","LYZ"
"CST3",8.36856208214725e-240,1.89862012266628,0.991,0.282,1.14766460394567e-235,"2","CST3"
"GPX1",6.0428852770757e-212,1.57190576142479,0.937,0.32,8.28721286898162e-208,"2","GPX1"
"LGALS1",3.74940860615509e-207,1.70104461236225,0.977,0.377,5.14193896248109e-203,"2","LGALS1"
"CFD",9.28848789176427e-206,1.52972485054657,0.778,0.12,1.27382322947655e-201,"2","CFD"
"TYMP",3.27285255186821e-205,1.65571742666899,0.903,0.24,4.48838998963206e-201,"2","TYMP"
"AIF1",3.2944188885346e-201,1.48109484209633,0.955,0.26,4.51796606373635e-197,"2","AIF1"
"GRN",4.17829844840548e-201,1.67037690336388,0.756,0.139,5.73011849214328e-197,"2","GRN"
