GeneSymbol	SPOT	Profile	VM	HN	P1	P2	YFB-S	YFB-C	YFB-G	FB-S	FB-C
JGI|COPCI_AMUTBMUT1|375105|	ID_1184	39	0.00	-0.17	-0.30	-0.09	1.10	1.02	0.88	1.15	6.47
JGI|COPCI_AMUTBMUT1|375205|	ID_1185	10	0.00	-0.93	-1.78	-0.93	-2.61	-3.23	-1.60	-1.25	-3.02
JGI|COPCI_AMUTBMUT1|375347|	ID_1186	12	0.00	0.56	0.55	0.43	2.19	1.26	2.08	1.17	0.09
JGI|COPCI_AMUTBMUT1|375389|	ID_1188	38	0.00	0.85	1.81	1.71	-0.41	3.52	-1.94	1.75	2.83
JGI|COPCI_AMUTBMUT1|375422|	ID_1189	14	0.00	-0.27	0.24	0.02	1.44	3.59	0.96	2.36	2.59
JGI|COPCI_AMUTBMUT1|375495|	ID_1190	48	0.00	3.23	3.96	3.42	5.26	6.64	5.77	5.79	3.80
JGI|COPCI_AMUTBMUT1|375667|	ID_1192	24	0.00	-0.81	-1.15	-0.29	-2.39	0.37	-5.29	3.01	-1.71
JGI|COPCI_AMUTBMUT1|375773|	ID_1193	12	0.00	-0.38	0.24	0.25	1.56	-1.09	1.02	-1.36	-2.34
JGI|COPCI_AMUTBMUT1|375840|	ID_1194	36	0.00	-1.41	-1.16	-0.91	-2.49	-5.00	-0.19	-6.22	-2.62
JGI|COPCI_AMUTBMUT1|375841|	ID_1195	34	0.00	4.68	2.36	1.97	3.82	3.80	3.01	5.69	3.10
JGI|COPCI_AMUTBMUT1|375847|	ID_1196	22	0.00	0.46	0.12	0.25	0.59	-0.75	0.40	2.88	-1.47
JGI|COPCI_AMUTBMUT1|375870|	ID_1197	9	0.00	0.07	0.43	0.36	-0.47	-0.39	1.27	-2.26	-0.60
JGI|COPCI_AMUTBMUT1|375875|	ID_1198	25	0.00	-0.76	-3.09	-1.31	-3.35	-2.53	-0.73	-3.87	1.50
JGI|COPCI_AMUTBMUT1|375916|	ID_1199	33	0.00	-0.01	0.40	0.28	2.49	3.84	3.16	0.54	2.75
JGI|COPCI_AMUTBMUT1|375929|	ID_1200	21	0.00	-1.01	-2.99	-2.09	-6.16	-3.57	-9.41	-4.98	-2.56
JGI|COPCI_AMUTBMUT1|375941|	ID_1201	24	0.00	-0.46	-0.95	-0.51	-0.42	-0.44	-1.44	2.12	1.48
JGI|COPCI_AMUTBMUT1|375954|	ID_1202	39	0.00	-0.42	-0.42	-0.23	-0.65	1.87	1.61	1.32	1.71
JGI|COPCI_AMUTBMUT1|375971|	ID_1203	24	0.00	1.12	-0.80	-0.17	-0.69	2.70	-1.47	4.56	4.71
JGI|COPCI_AMUTBMUT1|376001|	ID_1204	21	0.00	-0.75	-0.19	-0.07	-2.80	-1.22	-3.45	-1.63	1.56
JGI|COPCI_AMUTBMUT1|376032|	ID_1205	29	0.00	0.66	2.86	2.83	1.89	3.56	1.80	0.31	-0.50
JGI|COPCI_AMUTBMUT1|376039|	ID_1206	29	0.00	2.51	4.98	4.77	4.10	5.52	3.65	2.31	1.12
JGI|COPCI_AMUTBMUT1|376048|	ID_1207	0	0.00	-0.69	-1.08	-0.66	1.62	0.99	0.65	-0.20	-1.43
JGI|COPCI_AMUTBMUT1|376052|	ID_1208	35	0.00	3.46	3.87	3.79	5.22	5.62	6.24	-0.77	4.47
JGI|COPCI_AMUTBMUT1|376074|	ID_1209	36	0.00	-0.64	-0.79	-0.53	-2.13	-3.97	-0.02	-6.75	-1.91
JGI|COPCI_AMUTBMUT1|376086|	ID_1210	21	0.00	0.41	0.09	0.30	-1.34	-2.00	-1.74	0.25	-1.18
JGI|COPCI_AMUTBMUT1|376145|	ID_1211	48	0.00	6.07	5.94	5.64	5.62	5.56	4.77	4.57	2.19
JGI|COPCI_AMUTBMUT1|376147|	ID_1212	47	0.00	5.32	5.27	5.09	4.88	4.96	4.10	4.02	1.80
JGI|COPCI_AMUTBMUT1|376171|	ID_1213	39	0.00	2.05	1.05	0.97	2.36	2.71	1.90	2.74	2.85
JGI|COPCI_AMUTBMUT1|376221|	ID_1214	21	0.00	-0.96	-1.97	-1.48	-3.36	-3.44	-3.42	-2.72	-2.61
JGI|COPCI_AMUTBMUT1|376246|	ID_1215	10	0.00	0.85	1.46	0.92	-0.85	-1.62	-0.65	-0.90	-2.52
JGI|COPCI_AMUTBMUT1|376308|	ID_1216	24	0.00	0.07	0.40	0.47	2.39	1.16	-0.85	5.64	4.39
JGI|COPCI_AMUTBMUT1|376349|	ID_1217	34	0.00	1.54	0.42	-0.10	-2.29	-0.83	-1.27	2.80	0.50
JGI|COPCI_AMUTBMUT1|376387|	ID_1218	10	0.00	1.22	0.80	0.18	-1.90	-1.42	-0.90	-1.13	-1.24
JGI|COPCI_AMUTBMUT1|376495|	ID_1219	14	0.00	-0.11	-0.78	-0.80	0.80	0.65	0.16	1.49	-0.20
JGI|COPCI_AMUTBMUT1|376531|	ID_1220	10	0.00	1.75	1.93	1.04	-2.20	-3.80	-3.73	0.53	-6.47
JGI|COPCI_AMUTBMUT1|376544|	ID_1221	21	0.00	2.13	2.25	1.34	-2.25	-3.41	-3.95	-0.64	-1.16
JGI|COPCI_AMUTBMUT1|376595|	ID_1222	38	0.00	-0.22	0.52	1.16	0.78	3.03	0.37	1.18	2.35
JGI|COPCI_AMUTBMUT1|376617|	ID_1223	31	0.00	0.13	0.24	0.11	-0.10	-1.13	0.44	1.35	3.10
JGI|COPCI_AMUTBMUT1|376641|	ID_1224	8	0.00	-0.74	-0.88	-0.56	-0.68	-0.09	-0.19	-2.88	-3.31
JGI|COPCI_AMUTBMUT1|376646|	ID_1225	24	0.00	2.29	0.42	-0.01	1.80	0.02	-1.89	5.81	5.50
JGI|COPCI_AMUTBMUT1|376651|	ID_1226	47	0.00	1.13	0.37	0.05	-1.58	-0.24	-0.84	-0.38	-2.21
JGI|COPCI_AMUTBMUT1|376655|	ID_1227	10	0.00	0.83	1.06	0.02	-1.89	-1.80	-1.21	-1.32	-3.10
JGI|COPCI_AMUTBMUT1|376680|	ID_1228	14	0.00	-0.05	-0.09	-0.14	2.59	1.99	1.95	1.60	0.49
JGI|COPCI_AMUTBMUT1|376796|	ID_1229	29	0.00	0.68	0.82	0.55	1.11	0.18	1.09	-0.32	-1.99
JGI|COPCI_AMUTBMUT1|376830|	ID_1230	15	0.00	-0.87	-0.60	-0.16	-2.30	-1.87	-1.14	-0.66	-1.06
JGI|COPCI_AMUTBMUT1|376844|	ID_1231	35	0.00	0.75	0.67	0.40	0.21	2.04	-0.27	-1.07	-0.66
