Gene ID #2	Gene ID #1	Class	type
SLC10A1	ID607	2	proliferation class
kobee	ID608	2	proliferation class
HPD	ID609	2	proliferation class
FLJ20581	ID610	2	proliferation class
DAO	ID611	2	proliferation class
AR	ID612	2	proliferation class
ABCA6	ID613	2	proliferation class
GYS2	ID614	2	proliferation class
TMEM7	ID615	2	proliferation class
HSD11B1	ID616	2	proliferation class
CYP4F11	ID617	2	proliferation class
HNF4A.1	ID618	2	proliferation class
LDHD	ID619	2	proliferation class
FMO3	ID620	2	proliferation class
CYP4F2	ID621	2	proliferation class
PFKFB1	ID622	2	proliferation class
MASP2	ID623	2	proliferation class
ECHDC2	ID624	2	proliferation class
MAT1A	ID625	2	proliferation class
FMO4	ID626	2	proliferation class
APOA5	ID627	2	proliferation class
LOC388503	ID628	2	proliferation class
BAAT	ID629	2	proliferation class
AFM	ID630	2	proliferation class
EHHADH	ID631	2	proliferation class
LOC91614	ID632	2	proliferation class
RPIB9	ID633	2	proliferation class
SCP2	ID634	2	proliferation class
SEC14L2	ID635	2	proliferation class
BHMT2	ID636	2	proliferation class
APOC2andAPOC4	ID637	2	proliferation class
C8A	ID638	2	proliferation class
ADH1A	ID639	2	proliferation class
ACADL	ID640	2	proliferation class
SERPINC1	ID641	2	proliferation class
SRD5A1	ID642	2	proliferation class
DHTKD1	ID643	2	proliferation class
pleejy	ID644	2	proliferation class
LONP	ID645	2	proliferation class
CCL16	ID646	2	proliferation class
GCDH	ID647	2	proliferation class
ALDH6A1	ID648	2	proliferation class
KCNJ8	ID649	2	proliferation class
CTH	ID650	2	proliferation class
SULT2A1	ID651	2	proliferation class
ABCB11	ID652	2	proliferation class
ECM2	ID653	2	proliferation class
F12	ID654	2	proliferation class
PIPOX	ID655	2	proliferation class
HAAO	ID656	2	proliferation class
AZGP1	ID657	2	proliferation class
smufawbo	ID658	2	proliferation class
HSD17B6	ID659	2	proliferation class
ACBD4	ID660	2	proliferation class
MPDZ	ID661	2	proliferation class
ABAT	ID662	2	proliferation class
MTHFD1	ID663	2	proliferation class
HAO1	ID664	2	proliferation class
HAGH	ID665	2	proliferation class
ALDH1L1	ID666	2	proliferation class
