,GSM904985,GSM904986,GSM904988,GSM904989
AFF2,4.988054761,4.711393306,4.95466697,4.9618486
AFF3,4.942527384,4.944022233,5.4335071945,4.9421265745
AFF4,4.891201621,5.5627880165,5.223788793,5.5853668895
AFG3L1P,6.887868408,6.662697833,6.85090676,6.969082102
AFG3L2,10.02587322,9.672762918,9.740942083,9.607537723
AFM,6.610420893,4.488034807,11.00273868,5.091541599
AFMID,6.660436848,6.567399435,6.832806476,6.051154725
AFP,6.731159941,6.595014379,7.172850723,7.510116167
AFTPH,9.885567625,10.057520457,10.33172633,10.249724705
AGA,8.745270517,8.399911743,9.23232389,9.548796381
AGAP1,8.158614445,8.541262278,8.408121165,8.646196649
AGAP11,5.9571538325,6.0650170635,6.175019027,5.661489122
AGAP2,5.69508798,6.870940552,6.108960548,6.142562618
AGAP2-AS1,5.97792587,7.204348547,6.3527961,6.494498031
AGAP3,8.078394244,8.356675677,8.1297588,7.914360897
AGAP4,6.74340618,6.401462534,6.556742311,6.256961106
AGAP6,6.518552819,6.348949402,6.6249999345,6.847654125
AGAP9,6.021354348,5.399143131,6.095078971,5.3788275
AGBL1,4.542895938,3.553648317,5.406783913,4.89736154
AGBL2,5.266104946,5.476188439,5.444579336,5.403320387
AGBL3,3.332056898,3.344369979,3.10761048,3.630661256
AGBL4,4.6581074335,4.684456079,5.0443371375,4.9148020645
AGBL5,7.678396731,7.087414859,8.097289962,9.246655265
AGER,5.431947367,5.9770415125,5.99708581,5.6697476835
AGFG1,9.031990215,8.943332452,8.597611807,9.577125804
AGFG2,6.246052667,6.105447649,6.5661565915,6.009322175
AGGF1,8.1484603485,8.057714551,7.9872602445,8.33279162
AGK,8.230630912,7.353238183,7.857894849,7.234925805
AGL,10.46429063,9.751203952,10.31850445,9.363046909
AGMAT,9.669543096,8.017330402,11.33300942,9.170194587
AGO1,7.083562123,6.7796037885,7.246742432,6.440504913
AGO2,6.004608784,7.725028526,6.310014505,6.414772237
AGO3,7.0318170895,7.111645128,6.8462567435,6.7447097135
AGO4,6.4044247485,6.119112356,6.2866714955,6.445233035
AGPAT1,9.027210924,9.678715303,9.0884287125,8.6151122355
AGPAT2,8.871166318,8.793417225,8.7991129515,8.449551365
AGPAT3,8.8620472055,8.502574315,8.953607298,7.7571478035
