,GSM904985,GSM904986,GSM904988,GSM904989
IDH1-AS1,5.698566134,5.330499369,6.087795212,6.042569901
IDI2-AS1,6.148131747,6.476804165,6.767348924,6.347310632
IGF2-AS,7.17839703,7.125005975,7.090370163,7.202424824
IGF2BP2-AS1,4.613171415,4.393095428,4.8130367115,4.8744921455
IGFBP7-AS1,3.465976348,3.453526939,3.342236774,3.501058738
IGSF11-AS1,3.20867871,2.853302318,2.815509434,2.645617754
IL12A-AS1,4.362224327,5.051108378,4.974961724,5.30683434
IL21R-AS1,6.338487977,6.475454975,6.467036249,6.66402241
INE1,7.108828282,6.775586333,7.009380147,6.98635198
INHBA-AS1,4.1332209715,4.943965944,4.377494418,4.171246863
INTS6-AS1,5.5062763575,5.426590337,5.655736221,5.777203983
IPO9-AS1,5.876604237,5.910767012,6.159083632,5.856307154
IQCF5-AS1,4.745731123,4.691505764,4.935792952,4.555185747
IQCH-AS1,7.403415109,6.620941197,7.662716563,6.683991961
IQCJ-SCHIP1-AS1,6.087195892,6.285000076,6.300208342,5.526987408
ISM1-AS1,3.78816091,3.876529192,4.178489767,4.130852779
ITGA9-AS1,5.322548391,5.432272212,5.356037762,5.99180683
ITGB2-AS1,5.6656536065,6.422655622,5.8753508585,6.9385102645
ITPK1-AS1,4.6803171715,4.3831312935,4.3053618855,4.3122690825
ITPKB-IT1,7.214609721,7.069861848,7.257259857,6.774754143
JAKMIP2-AS1,4.475675347,5.012700508,4.774251054,4.20788016
JARID2-AS1,5.574897836,4.962750029,5.461588031,5.966219563
JAZF1-AS1,3.363786819,3.309063724,3.188027038,3.820130717
JMJD1C-AS1,5.254832165,5.492693291,5.706438553,4.397316607
JPX,6.0246079015,5.9313181905,5.888219807,5.844566026
