,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000007341,0.707183474623,0.502820428004,0.463254146776,0.628941651462
ENSG00000007350,0.00887851584655,0.00997645912803,0,0.152682156222
ENSG00000007372,0.0284999037288,0.083755823149,0.0639283268732,0.0628342883474
ENSG00000007376,3.66314930621,5.51011114751,6.75235572954,1.86294823778
ENSG00000007384,2.89509358297,1.8377474161,0.641017859069,0.427463192141
ENSG00000007392,1.04418879293,1.70985783469,2.59388042739,0.502075452686
ENSG00000007402,0.0256300085732,0.120957860197,0.0355895711062,0.0994522760943
ENSG00000007516,4.03368627929,5.45677901525,2.08669773941,1.74142912542
ENSG00000007520,19.1884513034,32.078369284,51.2443497359,17.6922893383
ENSG00000007541,6.98706495646,6.67953639974,5.95166744686,2.73765624525
ENSG00000007545,0.433481103317,0.948079365601,0.413825144561,0.365215519435
ENSG00000007866,3.35130452875,11.906900694,2.71089946,1.35107398202
ENSG00000007908,0.06361161299,1.89019630197,0.122681171501,1.7764461931
ENSG00000007923,4.04205656512,3.24524421508,1.11546944069,2.72127097547
ENSG00000007933,96.1342262531,173.56359672,58.0782726947,106.116851346
ENSG00000007944,1.2394209065,1.53676284359,0.697320911379,0.918710633384
ENSG00000007952,0.0768839450532,0.201580490883,0.177933782944,0.113005012666
ENSG00000007968,0.130647759296,0.213533154875,0.812249622522,0.0130928017698
ENSG00000008018,39.8905498876,73.1832534378,88.1339034587,45.383046009
ENSG00000008056,0.131282510726,0.147517290628,0.105171674291,0.0623411573455
ENSG00000008083,1.42233381043,1.52557724122,0.733158181754,0.831474538328
ENSG00000008086,0.387420469957,0.139678081386,0.139526499474,0.158041216361
ENSG00000008118,0,0.0136076516507,0,0.0587385360116
ENSG00000008128,0.772077702206,0.728126595794,0.866294524665,0.252292524926
ENSG00000008130,8.25582424593,17.4159960462,6.82666757309,9.56138353945
ENSG00000008196,0,0,0,0
ENSG00000008197,0,0,0,0
ENSG00000008226,0.0544125881217,0.0305707040922,0.0728583143487,0.0599822421209
ENSG00000008256,1.48418578433,1.57994957059,0.887127660022,0.703648826024
ENSG00000008277,0.00796948508236,0.0597000997087,0.00368878217121,0.0163991125438
ENSG00000008282,45.5478349364,38.5775463204,14.8494976083,13.3893588845
ENSG00000008283,9.67324314845,7.9741350239,5.42615593098,1.40477444631
ENSG00000008294,3.97666668971,2.99823327594,3.38915888905,3.13907578048
ENSG00000008300,1.06519150688,0.0524963249727,0.345451006974,0.0144202965416
ENSG00000008311,7.67988719883,0.42830757877,2.54843344886,6.38062337087
ENSG00000008323,0.433609207013,3.84655730465,2.55102536858,0.570237618489
ENSG00000008324,6.57597069157,8.2568427103,17.4498265911,7.58957213023
ENSG00000008382,13.2694597378,26.1776152654,24.3335259673,13.3061665148
ENSG00000008394,72.4879504868,72.3533982268,82.4899259917,97.0321254925
ENSG00000008405,4.38532383353,2.10772900325,1.70236969277,1.32675966223
ENSG00000008438,0.0450091428332,0.0505751053018,0,0.357237096289
ENSG00000008441,8.3150498972,5.38526160929,4.08436806096,4.41926436475
ENSG00000008513,7.88167892876,5.26458513936,29.513331707,25.84188247
ENSG00000008516,0.133522033029,0.485403337361,0.343548907358,0.917768594441
ENSG00000008517,34.7292734143,295.284225902,286.620858223,16.2844008866
ENSG00000008710,2.10016760149,1.43439862652,1.96198783698,1.11034193537
ENSG00000008735,1.658496529,0.357908218506,1.68909998238,0.113812191327
ENSG00000008838,6.94958750072,6.53277516458,5.37123614338,3.73964946532
ENSG00000008853,1.89612984702,4.95297839764,0.536847586014,0.555943444681
ENSG00000008869,1.75341491359,1.2291858398,0.685465721829,1.09182383316
ENSG00000008952,16.7346808964,10.4263309921,9.02202720316,19.2713372024
ENSG00000008988,106.579011452,176.041799579,664.731270602,116.219865996
ENSG00000009307,47.1796771979,30.4017829254,29.0923259469,40.2989164696
ENSG00000009335,9.39861198633,6.82072765038,2.86493268176,3.96912886593
ENSG00000009413,0.808534461197,0.662340533981,0.396574662445,0.493375337812
ENSG00000009694,0.786543147402,0.0169420327934,0.153534116245,0.161776104399
ENSG00000009709,0,0,0,0
ENSG00000009724,20.8344368152,107.443366967,59.6764103202,54.9931676809
ENSG00000009765,2.55824983237,1.3881065381,1.65892601003,3.32345648352
ENSG00000009780,1.29337130323,1.04710778255,1.38322564691,0.747417226742
ENSG00000009790,0.104537364,0.399380186383,0.333866914598,0.130910110124
ENSG00000009830,1.01958385883,0.632845504616,0.797782963736,0.51237761713
ENSG00000009844,2.71319228404,3.73066268357,2.03557154264,3.32542381012
ENSG00000009950,81.9889911019,50.6242624135,62.5132597806,18.1148513873
ENSG00000009954,9.38701952955,5.72567844625,4.3768077758,4.00137964084
ENSG00000010017,6.31284493924,8.60577650777,6.11062196285,4.28641822138
ENSG00000010030,0.791736227765,4.34085234048,1.81969147255,0.15047897906
ENSG00000010072,0.905365081034,1.73253560865,0.464775935676,0.416151578474
ENSG00000010165,6.14768203339,10.2191579378,6.19080542894,5.15272738833
ENSG00000010219,0.528318262913,0.691733223635,1.22801174348,0.698876088572
ENSG00000010244,3.04540831538,3.31162493223,2.65154037567,1.60637117947
ENSG00000010256,58.0334201351,55.3637988323,63.5081906917,72.4144764158
ENSG00000010270,1.99746186778,2.45384641547,0.584744511137,1.29486123218
ENSG00000010278,10.2553720779,6.68897543052,23.1953837612,7.08193576759
ENSG00000010282,0.0224189435074,0,0.0155653592897,0.00494274778677
ENSG00000010292,1.79842297246,2.34078458699,2.30997658152,1.00006561872
ENSG00000010295,2.27960970967,3.49933459709,2.46921853416,1.0710933504
ENSG00000010310,0.164222548175,0.0384439145031,0.0190031476802,0.00905161561543
ENSG00000010318,0.776709897693,0.567819836597,1.364407346,0.796381860627
ENSG00000010319,0.607906363391,0.995555455392,0.66452994897,0.367859392706
ENSG00000010322,5.06916638026,5.79938179429,2.62304423964,1.98876671878
ENSG00000010327,3.38512283915,4.84580967384,4.25429289387,5.65614155854
ENSG00000010361,1.14246936114,1.27140671498,1.38049171541,2.53335595063
ENSG00000010379,0.809591746649,0.506347035876,0.42952577778,1.69062476867
ENSG00000010404,3.07255698256,2.52374782892,1.55696560124,2.83113858919
ENSG00000010438,5.35565521693,3.50135344397,12.9400472347,1.52856257547
ENSG00000010539,0.808219657384,0.883883942218,0.534135953573,0.259185089865
ENSG00000010610,3.47188133851,7.74683044335,11.9690888214,30.7303410083
ENSG00000010626,0.933784967227,1.01348934004,0.839871925762,0.491288737529
ENSG00000010671,0.155834933875,0.421846124222,0.531141092931,0.393546440502
ENSG00000010704,7.26935329607,5.57600561854,1.09822455302,1.64171691123
ENSG00000010803,2.09873979265,2.62030678245,1.28512044541,0.973625726787
ENSG00000010810,3.27957591822,1.98506094052,3.23940204459,2.91728364153
ENSG00000010818,1.66111090677,0.916499145801,0.554781478581,0.483918472976
ENSG00000010932,0.0809714729481,1.43553547087,1.4054521216,0.0714077482865
ENSG00000011007,5.72870959867,4.59988603814,6.30626734843,6.53642500054
ENSG00000011009,31.6539709434,26.2493087517,34.3848284698,20.4581681372
ENSG00000011021,1.52737858009,1.01296002202,0.706967491211,1.21104302461
ENSG00000011028,0.496019125101,2.02241441493,1.70223881004,1.19773370476
ENSG00000011052,0.339472664721,0.381452849013,0.362606395702,0.230289828389
ENSG00000011083,0,0,0.00512405530706,0.00650853284061
ENSG00000011105,12.0574720192,13.7014811003,11.5294365115,16.5251853852
ENSG00000011114,0.726310071591,0.944651750665,0.512214729388,0.73508948076
ENSG00000011132,2.19893479673,3.91274356784,2.66060484929,1.27823496656
ENSG00000011143,0.890028758722,1.43763271373,1.70485914607,0.746360976062
