	V1	V2
UG0898H09-LINC00921	UG0898H09	LINC00921
VWA8-AS1-LINC00921	VWA8-AS1	LINC00921
ZFY-AS1-LINC00921	ZFY-AS1	LINC00921
LINC01021-LINC00922	LINC01021	LINC00922
LINC01146-LINC00922	LINC01146	LINC00922
LINC01419-LINC00922	LINC01419	LINC00922
MIR3663HG-LINC00922	MIR3663HG	LINC00922
POU6F2-AS2-LINC00922	POU6F2-AS2	LINC00922
UG0898H09-LINC00922	UG0898H09	LINC00922
ZFY-AS1-LINC00922	ZFY-AS1	LINC00922
LINC00973-LINC00923	LINC00973	LINC00923
LINC01021-LINC00923	LINC01021	LINC00923
LINC01146-LINC00923	LINC01146	LINC00923
LINC01305-LINC00923	LINC01305	LINC00923
LINC01419-LINC00923	LINC01419	LINC00923
MCHR2-AS1-LINC00923	MCHR2-AS1	LINC00923
MIR3663HG-LINC00923	MIR3663HG	LINC00923
POT1-AS1-LINC00923	POT1-AS1	LINC00923
POU6F2-AS2-LINC00923	POU6F2-AS2	LINC00923
UG0898H09-LINC00923	UG0898H09	LINC00923
ZFY-AS1-LINC00923	ZFY-AS1	LINC00923
LINC01021-LINC00924	LINC01021	LINC00924
LINC01419-LINC00924	LINC01419	LINC00924
MIR3663HG-LINC00924	MIR3663HG	LINC00924
POU6F2-AS2-LINC00924	POU6F2-AS2	LINC00924
SOX2-OT-LINC00924	SOX2-OT	LINC00924
UG0898H09-LINC00924	UG0898H09	LINC00924
ZFY-AS1-LINC00924	ZFY-AS1	LINC00924
LINC00973-LINC00926	LINC00973	LINC00926
LINC01021-LINC00926	LINC01021	LINC00926
LINC01087-LINC00926	LINC01087	LINC00926
LINC01146-LINC00926	LINC01146	LINC00926
LINC01419-LINC00926	LINC01419	LINC00926
POT1-AS1-LINC00926	POT1-AS1	LINC00926
RNF157-AS1-LINC00926	RNF157-AS1	LINC00926
RRS1-AS1-LINC00926	RRS1-AS1	LINC00926
SOX2-OT-LINC00926	SOX2-OT	LINC00926
SPATA42-LINC00926	SPATA42	LINC00926
UG0898H09-LINC00926	UG0898H09	LINC00926
ZFY-AS1-LINC00926	ZFY-AS1	LINC00926
LINC00973-LINC00927	LINC00973	LINC00927
LINC01020-LINC00927	LINC01020	LINC00927
LINC01021-LINC00927	LINC01021	LINC00927
LINC01087-LINC00927	LINC01087	LINC00927
LINC01093-LINC00927	LINC01093	LINC00927
LINC01098-LINC00927	LINC01098	LINC00927
LINC01102-LINC00927	LINC01102	LINC00927
LINC01146-LINC00927	LINC01146	LINC00927
LINC01360-LINC00927	LINC01360	LINC00927
LINC01361-LINC00927	LINC01361	LINC00927
LINC01393-LINC00927	LINC01393	LINC00927
LINC01419-LINC00927	LINC01419	LINC00927
MIR3663HG-LINC00927	MIR3663HG	LINC00927
NEXN-AS1-LINC00927	NEXN-AS1	LINC00927
OSTM1-AS1-LINC00927	OSTM1-AS1	LINC00927
POT1-AS1-LINC00927	POT1-AS1	LINC00927
POU6F2-AS2-LINC00927	POU6F2-AS2	LINC00927
ROR1-AS1-LINC00927	ROR1-AS1	LINC00927
RRS1-AS1-LINC00927	RRS1-AS1	LINC00927
SOX2-OT-LINC00927	SOX2-OT	LINC00927
SPATA42-LINC00927	SPATA42	LINC00927
STAM-AS1-LINC00927	STAM-AS1	LINC00927
TEX41-LINC00927	TEX41	LINC00927
TMCC1-AS1-LINC00927	TMCC1-AS1	LINC00927
UG0898H09-LINC00927	UG0898H09	LINC00927
VAC14-AS1-LINC00927	VAC14-AS1	LINC00927
ZFY-AS1-LINC00927	ZFY-AS1	LINC00927
LINC00973-LINC00928	LINC00973	LINC00928
LINC01020-LINC00928	LINC01020	LINC00928
LINC01021-LINC00928	LINC01021	LINC00928
LINC01087-LINC00928	LINC01087	LINC00928
LINC01093-LINC00928	LINC01093	LINC00928
LINC01098-LINC00928	LINC01098	LINC00928
LINC01102-LINC00928	LINC01102	LINC00928
LINC01122-LINC00928	LINC01122	LINC00928
LINC01139-LINC00928	LINC01139	LINC00928
LINC01146-LINC00928	LINC01146	LINC00928
LINC01233-LINC00928	LINC01233	LINC00928
LINC01234-LINC00928	LINC01234	LINC00928
LINC01300-LINC00928	LINC01300	LINC00928
LINC01305-LINC00928	LINC01305	LINC00928
LINC01360-LINC00928	LINC01360	LINC00928
LINC01361-LINC00928	LINC01361	LINC00928
LINC01393-LINC00928	LINC01393	LINC00928
LINC01419-LINC00928	LINC01419	LINC00928
MIR133A1HG-LINC00928	MIR133A1HG	LINC00928
MIR3663HG-LINC00928	MIR3663HG	LINC00928
NEXN-AS1-LINC00928	NEXN-AS1	LINC00928
OSTM1-AS1-LINC00928	OSTM1-AS1	LINC00928
OTX2-AS1-LINC00928	OTX2-AS1	LINC00928
PCAT6-LINC00928	PCAT6	LINC00928
POT1-AS1-LINC00928	POT1-AS1	LINC00928
POU6F2-AS2-LINC00928	POU6F2-AS2	LINC00928
RGPD4-AS1-LINC00928	RGPD4-AS1	LINC00928
ROR1-AS1-LINC00928	ROR1-AS1	LINC00928
RRS1-AS1-LINC00928	RRS1-AS1	LINC00928
SACS-AS1-LINC00928	SACS-AS1	LINC00928
SOX2-OT-LINC00928	SOX2-OT	LINC00928
SPATA42-LINC00928	SPATA42	LINC00928
ST7-AS2-LINC00928	ST7-AS2	LINC00928
STAM-AS1-LINC00928	STAM-AS1	LINC00928
TEX41-LINC00928	TEX41	LINC00928
TMCC1-AS1-LINC00928	TMCC1-AS1	LINC00928
UG0898H09-LINC00928	UG0898H09	LINC00928
VAC14-AS1-LINC00928	VAC14-AS1	LINC00928
VENTXP1-LINC00928	VENTXP1	LINC00928
VWA8-AS1-LINC00928	VWA8-AS1	LINC00928
ZFY-AS1-LINC00928	ZFY-AS1	LINC00928
LINC01020-LINC00929	LINC01020	LINC00929
LINC01021-LINC00929	LINC01021	LINC00929
LINC01087-LINC00929	LINC01087	LINC00929
LINC01098-LINC00929	LINC01098	LINC00929
LINC01146-LINC00929	LINC01146	LINC00929
LINC01234-LINC00929	LINC01234	LINC00929
LINC01305-LINC00929	LINC01305	LINC00929
LINC01419-LINC00929	LINC01419	LINC00929
MIR3663HG-LINC00929	MIR3663HG	LINC00929
NEXN-AS1-LINC00929	NEXN-AS1	LINC00929
OSTM1-AS1-LINC00929	OSTM1-AS1	LINC00929
POT1-AS1-LINC00929	POT1-AS1	LINC00929
POU6F2-AS2-LINC00929	POU6F2-AS2	LINC00929
RRS1-AS1-LINC00929	RRS1-AS1	LINC00929
SOX2-OT-LINC00929	SOX2-OT	LINC00929
UG0898H09-LINC00929	UG0898H09	LINC00929
VAC14-AS1-LINC00929	VAC14-AS1	LINC00929
ZFY-AS1-LINC00929	ZFY-AS1	LINC00929
LINC01020-LINC00930	LINC01020	LINC00930
LINC01021-LINC00930	LINC01021	LINC00930
LINC01087-LINC00930	LINC01087	LINC00930
LINC01093-LINC00930	LINC01093	LINC00930
LINC01098-LINC00930	LINC01098	LINC00930
LINC01102-LINC00930	LINC01102	LINC00930
LINC01122-LINC00930	LINC01122	LINC00930
LINC01139-LINC00930	LINC01139	LINC00930
LINC01146-LINC00930	LINC01146	LINC00930
LINC01233-LINC00930	LINC01233	LINC00930
LINC01234-LINC00930	LINC01234	LINC00930
LINC01305-LINC00930	LINC01305	LINC00930
LINC01360-LINC00930	LINC01360	LINC00930
LINC01361-LINC00930	LINC01361	LINC00930
LINC01393-LINC00930	LINC01393	LINC00930
LINC01419-LINC00930	LINC01419	LINC00930
MIR3663HG-LINC00930	MIR3663HG	LINC00930
NEXN-AS1-LINC00930	NEXN-AS1	LINC00930
OSTM1-AS1-LINC00930	OSTM1-AS1	LINC00930
OTX2-AS1-LINC00930	OTX2-AS1	LINC00930
POT1-AS1-LINC00930	POT1-AS1	LINC00930
POU6F2-AS2-LINC00930	POU6F2-AS2	LINC00930
RNF157-AS1-LINC00930	RNF157-AS1	LINC00930
ROR1-AS1-LINC00930	ROR1-AS1	LINC00930
RRS1-AS1-LINC00930	RRS1-AS1	LINC00930
SLC26A4-AS1-LINC00930	SLC26A4-AS1	LINC00930
SOX2-OT-LINC00930	SOX2-OT	LINC00930
SPATA42-LINC00930	SPATA42	LINC00930
STAM-AS1-LINC00930	STAM-AS1	LINC00930
TEX41-LINC00930	TEX41	LINC00930
UG0898H09-LINC00930	UG0898H09	LINC00930
VAC14-AS1-LINC00930	VAC14-AS1	LINC00930
ZFY-AS1-LINC00930	ZFY-AS1	LINC00930
LINC01020-LINC00934	LINC01020	LINC00934
LINC01021-LINC00934	LINC01021	LINC00934
LINC01087-LINC00934	LINC01087	LINC00934
LINC01102-LINC00934	LINC01102	LINC00934
LINC01146-LINC00934	LINC01146	LINC00934
LINC01233-LINC00934	LINC01233	LINC00934
LINC01360-LINC00934	LINC01360	LINC00934
LINC01393-LINC00934	LINC01393	LINC00934
LINC01419-LINC00934	LINC01419	LINC00934
MIR3663HG-LINC00934	MIR3663HG	LINC00934
NEXN-AS1-LINC00934	NEXN-AS1	LINC00934
OTX2-AS1-LINC00934	OTX2-AS1	LINC00934
POT1-AS1-LINC00934	POT1-AS1	LINC00934
POU6F2-AS2-LINC00934	POU6F2-AS2	LINC00934
TMCC1-AS1-LINC00934	TMCC1-AS1	LINC00934
UG0898H09-LINC00934	UG0898H09	LINC00934
ZFY-AS1-LINC00934	ZFY-AS1	LINC00934
LINC01020-LINC00937	LINC01020	LINC00937
LINC01021-LINC00937	LINC01021	LINC00937
LINC01087-LINC00937	LINC01087	LINC00937
LINC01098-LINC00937	LINC01098	LINC00937
LINC01102-LINC00937	LINC01102	LINC00937
LINC01146-LINC00937	LINC01146	LINC00937
LINC01233-LINC00937	LINC01233	LINC00937
LINC01234-LINC00937	LINC01234	LINC00937
LINC01305-LINC00937	LINC01305	LINC00937
LINC01361-LINC00937	LINC01361	LINC00937
LINC01419-LINC00937	LINC01419	LINC00937
MIR133A1HG-LINC00937	MIR133A1HG	LINC00937
MIR3663HG-LINC00937	MIR3663HG	LINC00937
NEXN-AS1-LINC00937	NEXN-AS1	LINC00937
OTX2-AS1-LINC00937	OTX2-AS1	LINC00937
POT1-AS1-LINC00937	POT1-AS1	LINC00937
POU6F2-AS2-LINC00937	POU6F2-AS2	LINC00937
RNF157-AS1-LINC00937	RNF157-AS1	LINC00937
ROR1-AS1-LINC00937	ROR1-AS1	LINC00937
RRS1-AS1-LINC00937	RRS1-AS1	LINC00937
SOX2-OT-LINC00937	SOX2-OT	LINC00937
ST7-OT4-LINC00937	ST7-OT4	LINC00937
UG0898H09-LINC00937	UG0898H09	LINC00937
WASIR1-LINC00937	WASIR1	LINC00937
ZFY-AS1-LINC00937	ZFY-AS1	LINC00937
LINC00973-LINC00939	LINC00973	LINC00939
LINC01021-LINC00939	LINC01021	LINC00939
LINC01087-LINC00939	LINC01087	LINC00939
LINC01093-LINC00939	LINC01093	LINC00939
LINC01146-LINC00939	LINC01146	LINC00939
LINC01419-LINC00939	LINC01419	LINC00939
MIR3663HG-LINC00939	MIR3663HG	LINC00939
POT1-AS1-LINC00939	POT1-AS1	LINC00939
POU6F2-AS2-LINC00939	POU6F2-AS2	LINC00939
SACS-AS1-LINC00939	SACS-AS1	LINC00939
UG0898H09-LINC00939	UG0898H09	LINC00939
VAC14-AS1-LINC00939	VAC14-AS1	LINC00939
ZFY-AS1-LINC00939	ZFY-AS1	LINC00939
LINC00973-LINC00942	LINC00973	LINC00942
LINC01020-LINC00942	LINC01020	LINC00942
LINC01021-LINC00942	LINC01021	LINC00942
LINC01087-LINC00942	LINC01087	LINC00942
LINC01098-LINC00942	LINC01098	LINC00942
LINC01102-LINC00942	LINC01102	LINC00942
LINC01106-LINC00942	LINC01106	LINC00942
LINC01122-LINC00942	LINC01122	LINC00942
LINC01139-LINC00942	LINC01139	LINC00942
LINC01146-LINC00942	LINC01146	LINC00942
LINC01233-LINC00942	LINC01233	LINC00942
LINC01234-LINC00942	LINC01234	LINC00942
LINC01300-LINC00942	LINC01300	LINC00942
LINC01305-LINC00942	LINC01305	LINC00942
LINC01360-LINC00942	LINC01360	LINC00942
LINC01419-LINC00942	LINC01419	LINC00942
LINC01426-LINC00942	LINC01426	LINC00942
MIR133A1HG-LINC00942	MIR133A1HG	LINC00942
MIR3663HG-LINC00942	MIR3663HG	LINC00942
NEXN-AS1-LINC00942	NEXN-AS1	LINC00942
OSTM1-AS1-LINC00942	OSTM1-AS1	LINC00942
OTX2-AS1-LINC00942	OTX2-AS1	LINC00942
POT1-AS1-LINC00942	POT1-AS1	LINC00942
POU6F2-AS2-LINC00942	POU6F2-AS2	LINC00942
RGPD4-AS1-LINC00942	RGPD4-AS1	LINC00942
RNF157-AS1-LINC00942	RNF157-AS1	LINC00942
ROR1-AS1-LINC00942	ROR1-AS1	LINC00942
RRS1-AS1-LINC00942	RRS1-AS1	LINC00942
SACS-AS1-LINC00942	SACS-AS1	LINC00942
SOX2-OT-LINC00942	SOX2-OT	LINC00942
SPATA42-LINC00942	SPATA42	LINC00942
STAM-AS1-LINC00942	STAM-AS1	LINC00942
TEX41-LINC00942	TEX41	LINC00942
TMCC1-AS1-LINC00942	TMCC1-AS1	LINC00942
UG0898H09-LINC00942	UG0898H09	LINC00942
VAC14-AS1-LINC00942	VAC14-AS1	LINC00942
VENTXP1-LINC00942	VENTXP1	LINC00942
VWA8-AS1-LINC00942	VWA8-AS1	LINC00942
ZFY-AS1-LINC00942	ZFY-AS1	LINC00942
LINC00973-LINC00943	LINC00973	LINC00943
LINC01020-LINC00943	LINC01020	LINC00943
LINC01021-LINC00943	LINC01021	LINC00943
LINC01087-LINC00943	LINC01087	LINC00943
LINC01093-LINC00943	LINC01093	LINC00943
LINC01102-LINC00943	LINC01102	LINC00943
LINC01122-LINC00943	LINC01122	LINC00943
LINC01146-LINC00943	LINC01146	LINC00943
LINC01234-LINC00943	LINC01234	LINC00943
LINC01305-LINC00943	LINC01305	LINC00943
LINC01360-LINC00943	LINC01360	LINC00943
LINC01361-LINC00943	LINC01361	LINC00943
LINC01419-LINC00943	LINC01419	LINC00943
LINC01426-LINC00943	LINC01426	LINC00943
MIR3663HG-LINC00943	MIR3663HG	LINC00943
NEXN-AS1-LINC00943	NEXN-AS1	LINC00943
OSTM1-AS1-LINC00943	OSTM1-AS1	LINC00943
POT1-AS1-LINC00943	POT1-AS1	LINC00943
POU6F2-AS2-LINC00943	POU6F2-AS2	LINC00943
ROR1-AS1-LINC00943	ROR1-AS1	LINC00943
RRS1-AS1-LINC00943	RRS1-AS1	LINC00943
SACS-AS1-LINC00943	SACS-AS1	LINC00943
SOX2-OT-LINC00943	SOX2-OT	LINC00943
SPATA42-LINC00943	SPATA42	LINC00943
TEX41-LINC00943	TEX41	LINC00943
UG0898H09-LINC00943	UG0898H09	LINC00943
VAC14-AS1-LINC00943	VAC14-AS1	LINC00943
VWA8-AS1-LINC00943	VWA8-AS1	LINC00943
ZFY-AS1-LINC00943	ZFY-AS1	LINC00943
LINC00973-LINC00944	LINC00973	LINC00944
LINC01021-LINC00944	LINC01021	LINC00944
LINC01087-LINC00944	LINC01087	LINC00944
LINC01146-LINC00944	LINC01146	LINC00944
LINC01419-LINC00944	LINC01419	LINC00944
MIR133A1HG-LINC00944	MIR133A1HG	LINC00944
MIR3663HG-LINC00944	MIR3663HG	LINC00944
OSTM1-AS1-LINC00944	OSTM1-AS1	LINC00944
POT1-AS1-LINC00944	POT1-AS1	LINC00944
POU6F2-AS2-LINC00944	POU6F2-AS2	LINC00944
ROR1-AS1-LINC00944	ROR1-AS1	LINC00944
RRS1-AS1-LINC00944	RRS1-AS1	LINC00944
UG0898H09-LINC00944	UG0898H09	LINC00944
VAC14-AS1-LINC00944	VAC14-AS1	LINC00944
ZFY-AS1-LINC00944	ZFY-AS1	LINC00944
LINC00973-LINC00951	LINC00973	LINC00951
LINC01020-LINC00951	LINC01020	LINC00951
LINC01021-LINC00951	LINC01021	LINC00951
LINC01087-LINC00951	LINC01087	LINC00951
LINC01093-LINC00951	LINC01093	LINC00951
LINC01102-LINC00951	LINC01102	LINC00951
LINC01146-LINC00951	LINC01146	LINC00951
LINC01305-LINC00951	LINC01305	LINC00951
LINC01419-LINC00951	LINC01419	LINC00951
MIR3663HG-LINC00951	MIR3663HG	LINC00951
POT1-AS1-LINC00951	POT1-AS1	LINC00951
POU6F2-AS2-LINC00951	POU6F2-AS2	LINC00951
ROR1-AS1-LINC00951	ROR1-AS1	LINC00951
RRS1-AS1-LINC00951	RRS1-AS1	LINC00951
SOX2-OT-LINC00951	SOX2-OT	LINC00951
SPATA42-LINC00951	SPATA42	LINC00951
UG0898H09-LINC00951	UG0898H09	LINC00951
VWA8-AS1-LINC00951	VWA8-AS1	LINC00951
ZFY-AS1-LINC00951	ZFY-AS1	LINC00951
LINC01146-LINC00954	LINC01146	LINC00954
LINC01419-LINC00954	LINC01419	LINC00954
UG0898H09-LINC00954	UG0898H09	LINC00954
ZFY-AS1-LINC00954	ZFY-AS1	LINC00954
LINC00973-LINC00957	LINC00973	LINC00957
LINC01021-LINC00957	LINC01021	LINC00957
LINC01087-LINC00957	LINC01087	LINC00957
LINC01093-LINC00957	LINC01093	LINC00957
LINC01102-LINC00957	LINC01102	LINC00957
LINC01139-LINC00957	LINC01139	LINC00957
LINC01146-LINC00957	LINC01146	LINC00957
LINC01233-LINC00957	LINC01233	LINC00957
LINC01305-LINC00957	LINC01305	LINC00957
LINC01360-LINC00957	LINC01360	LINC00957
LINC01393-LINC00957	LINC01393	LINC00957
LINC01419-LINC00957	LINC01419	LINC00957
MIR3663HG-LINC00957	MIR3663HG	LINC00957
POU6F2-AS2-LINC00957	POU6F2-AS2	LINC00957
RRS1-AS1-LINC00957	RRS1-AS1	LINC00957
SOX2-OT-LINC00957	SOX2-OT	LINC00957
UG0898H09-LINC00957	UG0898H09	LINC00957
VAC14-AS1-LINC00957	VAC14-AS1	LINC00957
ZFY-AS1-LINC00957	ZFY-AS1	LINC00957
LINC01021-LINC00958	LINC01021	LINC00958
LINC01146-LINC00958	LINC01146	LINC00958
LINC01419-LINC00958	LINC01419	LINC00958
MIR3663HG-LINC00958	MIR3663HG	LINC00958
OTX2-AS1-LINC00958	OTX2-AS1	LINC00958
RRS1-AS1-LINC00958	RRS1-AS1	LINC00958
SOX2-OT-LINC00958	SOX2-OT	LINC00958
STAM-AS1-LINC00958	STAM-AS1	LINC00958
UG0898H09-LINC00958	UG0898H09	LINC00958
ZFY-AS1-LINC00958	ZFY-AS1	LINC00958
LINC00973-LINC00964	LINC00973	LINC00964
LINC01020-LINC00964	LINC01020	LINC00964
LINC01021-LINC00964	LINC01021	LINC00964
LINC01087-LINC00964	LINC01087	LINC00964
LINC01093-LINC00964	LINC01093	LINC00964
LINC01098-LINC00964	LINC01098	LINC00964
LINC01102-LINC00964	LINC01102	LINC00964
LINC01146-LINC00964	LINC01146	LINC00964
LINC01233-LINC00964	LINC01233	LINC00964
LINC01234-LINC00964	LINC01234	LINC00964
LINC01393-LINC00964	LINC01393	LINC00964
LINC01419-LINC00964	LINC01419	LINC00964
MCHR2-AS1-LINC00964	MCHR2-AS1	LINC00964
MCM3AP-AS1-LINC00964	MCM3AP-AS1	LINC00964
MIR133A1HG-LINC00964	MIR133A1HG	LINC00964
MIR3663HG-LINC00964	MIR3663HG	LINC00964
NEXN-AS1-LINC00964	NEXN-AS1	LINC00964
OSTM1-AS1-LINC00964	OSTM1-AS1	LINC00964
OTX2-AS1-LINC00964	OTX2-AS1	LINC00964
POT1-AS1-LINC00964	POT1-AS1	LINC00964
POU6F2-AS2-LINC00964	POU6F2-AS2	LINC00964
PWRN2-LINC00964	PWRN2	LINC00964
RGPD4-AS1-LINC00964	RGPD4-AS1	LINC00964
ROR1-AS1-LINC00964	ROR1-AS1	LINC00964
RRS1-AS1-LINC00964	RRS1-AS1	LINC00964
SOX2-OT-LINC00964	SOX2-OT	LINC00964
SPATA42-LINC00964	SPATA42	LINC00964
UG0898H09-LINC00964	UG0898H09	LINC00964
VWA8-AS1-LINC00964	VWA8-AS1	LINC00964
WASIR1-LINC00964	WASIR1	LINC00964
ZFY-AS1-LINC00964	ZFY-AS1	LINC00964
LINC01021-LINC00967	LINC01021	LINC00967
LINC01087-LINC00967	LINC01087	LINC00967
LINC01093-LINC00967	LINC01093	LINC00967
LINC01146-LINC00967	LINC01146	LINC00967
LINC01305-LINC00967	LINC01305	LINC00967
LINC01419-LINC00967	LINC01419	LINC00967
MIR3663HG-LINC00967	MIR3663HG	LINC00967
NEXN-AS1-LINC00967	NEXN-AS1	LINC00967
POT1-AS1-LINC00967	POT1-AS1	LINC00967
POU6F2-AS2-LINC00967	POU6F2-AS2	LINC00967
ROR1-AS1-LINC00967	ROR1-AS1	LINC00967
RRS1-AS1-LINC00967	RRS1-AS1	LINC00967
SPATA42-LINC00967	SPATA42	LINC00967
UG0898H09-LINC00967	UG0898H09	LINC00967
VAC14-AS1-LINC00967	VAC14-AS1	LINC00967
ZFY-AS1-LINC00967	ZFY-AS1	LINC00967
LINC00969-LINC00968	LINC00969	LINC00968
LINC00970-LINC00968	LINC00970	LINC00968
LINC00973-LINC00968	LINC00973	LINC00968
LINC00982-LINC00968	LINC00982	LINC00968
LINC00992-LINC00968	LINC00992	LINC00968
LINC00996-LINC00968	LINC00996	LINC00968
LINC01003-LINC00968	LINC01003	LINC00968
LINC01004-LINC00968	LINC01004	LINC00968
LINC01007-LINC00968	LINC01007	LINC00968
LINC01012-LINC00968	LINC01012	LINC00968
LINC01013-LINC00968	LINC01013	LINC00968
LINC01015-LINC00968	LINC01015	LINC00968
LINC01016-LINC00968	LINC01016	LINC00968
LINC01018-LINC00968	LINC01018	LINC00968
LINC01019-LINC00968	LINC01019	LINC00968
LINC01020-LINC00968	LINC01020	LINC00968
LINC01021-LINC00968	LINC01021	LINC00968
LINC01023-LINC00968	LINC01023	LINC00968
LINC01029-LINC00968	LINC01029	LINC00968
LINC01049-LINC00968	LINC01049	LINC00968
LINC01056-LINC00968	LINC01056	LINC00968
LINC01069-LINC00968	LINC01069	LINC00968
LINC01082-LINC00968	LINC01082	LINC00968
LINC01087-LINC00968	LINC01087	LINC00968
LINC01088-LINC00968	LINC01088	LINC00968
LINC01089-LINC00968	LINC01089	LINC00968
LINC01091-LINC00968	LINC01091	LINC00968
LINC01093-LINC00968	LINC01093	LINC00968
LINC01095-LINC00968	LINC01095	LINC00968
LINC01096-LINC00968	LINC01096	LINC00968
LINC01097-LINC00968	LINC01097	LINC00968
LINC01098-LINC00968	LINC01098	LINC00968
LINC01102-LINC00968	LINC01102	LINC00968
LINC01103-LINC00968	LINC01103	LINC00968
LINC01104-LINC00968	LINC01104	LINC00968
LINC01106-LINC00968	LINC01106	LINC00968
LINC01107-LINC00968	LINC01107	LINC00968
LINC01111-LINC00968	LINC01111	LINC00968
LINC01114-LINC00968	LINC01114	LINC00968
LINC01115-LINC00968	LINC01115	LINC00968
LINC01116-LINC00968	LINC01116	LINC00968
LINC01118-LINC00968	LINC01118	LINC00968
LINC01119-LINC00968	LINC01119	LINC00968
LINC01120-LINC00968	LINC01120	LINC00968
LINC01122-LINC00968	LINC01122	LINC00968
LINC01126-LINC00968	LINC01126	LINC00968
LINC01133-LINC00968	LINC01133	LINC00968
LINC01134-LINC00968	LINC01134	LINC00968
LINC01136-LINC00968	LINC01136	LINC00968
LINC01137-LINC00968	LINC01137	LINC00968
LINC01139-LINC00968	LINC01139	LINC00968
LINC01140-LINC00968	LINC01140	LINC00968
LINC01141-LINC00968	LINC01141	LINC00968
LINC01142-LINC00968	LINC01142	LINC00968
LINC01144-LINC00968	LINC01144	LINC00968
LINC01146-LINC00968	LINC01146	LINC00968
LINC01149-LINC00968	LINC01149	LINC00968
LINC01153-LINC00968	LINC01153	LINC00968
LINC01165-LINC00968	LINC01165	LINC00968
LINC01169-LINC00968	LINC01169	LINC00968
LINC01180-LINC00968	LINC01180	LINC00968
LINC01181-LINC00968	LINC01181	LINC00968
LINC01184-LINC00968	LINC01184	LINC00968
LINC01186-LINC00968	LINC01186	LINC00968
LINC01187-LINC00968	LINC01187	LINC00968
LINC01189-LINC00968	LINC01189	LINC00968
LINC01191-LINC00968	LINC01191	LINC00968
LINC01192-LINC00968	LINC01192	LINC00968
LINC01197-LINC00968	LINC01197	LINC00968
LINC01204-LINC00968	LINC01204	LINC00968
LINC01206-LINC00968	LINC01206	LINC00968
LINC01208-LINC00968	LINC01208	LINC00968
LINC01209-LINC00968	LINC01209	LINC00968
LINC01210-LINC00968	LINC01210	LINC00968
LINC01213-LINC00968	LINC01213	LINC00968
LINC01214-LINC00968	LINC01214	LINC00968
LINC01220-LINC00968	LINC01220	LINC00968
LINC01222-LINC00968	LINC01222	LINC00968
LINC01227-LINC00968	LINC01227	LINC00968
LINC01231-LINC00968	LINC01231	LINC00968
LINC01233-LINC00968	LINC01233	LINC00968
LINC01234-LINC00968	LINC01234	LINC00968
LINC01241-LINC00968	LINC01241	LINC00968
LINC01243-LINC00968	LINC01243	LINC00968
LINC01252-LINC00968	LINC01252	LINC00968
LINC01254-LINC00968	LINC01254	LINC00968
LINC01255-LINC00968	LINC01255	LINC00968
LINC01257-LINC00968	LINC01257	LINC00968
LINC01260-LINC00968	LINC01260	LINC00968
LINC01267-LINC00968	LINC01267	LINC00968
LINC01270-LINC00968	LINC01270	LINC00968
LINC01271-LINC00968	LINC01271	LINC00968
LINC01281-LINC00968	LINC01281	LINC00968
LINC01282-LINC00968	LINC01282	LINC00968
LINC01289-LINC00968	LINC01289	LINC00968
LINC01293-LINC00968	LINC01293	LINC00968
LINC01300-LINC00968	LINC01300	LINC00968
LINC01304-LINC00968	LINC01304	LINC00968
LINC01305-LINC00968	LINC01305	LINC00968
LINC01310-LINC00968	LINC01310	LINC00968
LINC01312-LINC00968	LINC01312	LINC00968
LINC01315-LINC00968	LINC01315	LINC00968
LINC01333-LINC00968	LINC01333	LINC00968
LINC01342-LINC00968	LINC01342	LINC00968
LINC01343-LINC00968	LINC01343	LINC00968
LINC01346-LINC00968	LINC01346	LINC00968
LINC01350-LINC00968	LINC01350	LINC00968
LINC01351-LINC00968	LINC01351	LINC00968
LINC01352-LINC00968	LINC01352	LINC00968
LINC01354-LINC00968	LINC01354	LINC00968
LINC01355-LINC00968	LINC01355	LINC00968
LINC01356-LINC00968	LINC01356	LINC00968
LINC01360-LINC00968	LINC01360	LINC00968
LINC01361-LINC00968	LINC01361	LINC00968
LINC01362-LINC00968	LINC01362	LINC00968
LINC01364-LINC00968	LINC01364	LINC00968
LINC01365-LINC00968	LINC01365	LINC00968
LINC01366-LINC00968	LINC01366	LINC00968
LINC01393-LINC00968	LINC01393	LINC00968
LINC01395-LINC00968	LINC01395	LINC00968
LINC01405-LINC00968	LINC01405	LINC00968
LINC01419-LINC00968	LINC01419	LINC00968
LINC01424-LINC00968	LINC01424	LINC00968
LINC01425-LINC00968	LINC01425	LINC00968
LINC01426-LINC00968	LINC01426	LINC00968
LINC01428-LINC00968	LINC01428	LINC00968
LINC01431-LINC00968	LINC01431	LINC00968
LINC01432-LINC00968	LINC01432	LINC00968
LINC01442-LINC00968	LINC01442	LINC00968
LINC01448-LINC00968	LINC01448	LINC00968
LINC01449-LINC00968	LINC01449	LINC00968
LIPE-AS1-LINC00968	LIPE-AS1	LINC00968
LOH12CR2-LINC00968	LOH12CR2	LINC00968
LOXL1-AS1-LINC00968	LOXL1-AS1	LINC00968
LPP-AS2-LINC00968	LPP-AS2	LINC00968
LRRC2-AS1-LINC00968	LRRC2-AS1	LINC00968
LSAMP-AS1-LINC00968	LSAMP-AS1	LINC00968
LY86-AS1-LINC00968	LY86-AS1	LINC00968
LZTS1-AS1-LINC00968	LZTS1-AS1	LINC00968
