SYMBOL,GSM431121,GSM431122,GSM431123,GSM431124,GSM431125,GSM431126
HIST1H3I,25.6311927,25.87526686,25.87526686,24.85615399,24.27339103,27.68821532
FAM55D,25.87058365,27.53424353,25.14892573,21.40257441,27.70434845,26.53244528
RYR1,28.20397892,22.7201456,27.93366981,25.69038114,26.14614585,23.49405035
BICC1,25.94163309,25.94163309,25.54496497,25.94163309,25.89208303,24.90576365
DLX4,22.42585637,27.75143549,24.85685644,24.85685644,29.40014427,24.85685644
KRT36,26.44624747,22.87356492,25.95236496,25.89596891,25.56056713,27.38753903
BCL2A1,18.34825278,19.93456614,29.71217213,26.59615191,32.91290423,26.59615191
PRO1621,24.34751905,21.80744628,25.34541765,26.48706919,30.20636198,25.87932351
FGF17,22.47594913,25.34919866,26.58628868,25.96059324,28.33887351,25.34919866
GCNT2 ,24.01555931,22.77075671,26.91279254,25.46353898,24.93868818,29.93384345
CFHR2,31.89182161,28.50023591,23.5131971,23.59243466,20.11334597,26.41134612
ZBTB7B,22.79630011,24.28389171,27.86823681,25.6081438,28.51854697,24.9050034
IL12RB2,25.44707978,25.25623018,25.25623018,24.3834976,25.25623018,28.33708842
CHRNG,24.9828963,23.80539944,25.99052499,27.163849,25.99052499,25.99052499
ARHGAP4,27.40860419,26.38942433,24.1291382,24.19151028,27.05175723,24.74919654
OR10H1,23.34846562,24.99052537,25.03988793,27.47911234,28.0501111,24.99052537
BAI3,25.00756158,23.25258183,25.00756158,25.98054246,26.91279254,27.72688736
FCGBP,25.35367846,22.26100135,26.09200706,25.35367846,32.02225852,22.80516648
RHOH,25.56108114,24.66300614,26.08029721,22.27332612,29.78711265,25.4732278
NCAM1,25.31549355,22.18849873,25.31549355,25.31549355,29.3741616,26.32584457
IL8RA,23.09033694,22.14342014,26.06801859,25.75504924,29.48546257,27.27483556
VASH2,25.79505429,25.79505429,26.9897115,25.79505429,25.14892573,24.25654429
EIF1AY,25.77215707,26.06325227,25.49635887,25.77215707,24.88292301,25.77215707
MSR1,26.5303752,26.59485824,24.13889571,26.40536606,22.43562678,27.64267648
LILRB4,25.60177629,26.06801859,22.67741615,25.51904622,25.4752368,28.40512412
LALBA,25.49573076,24.31457475,22.50100627,27.42596107,28.33444391,25.67393581
MYH13,28.74734651,23.66167665,25.33986209,24.90157685,23.71684561,27.36891194
ZNF409,24.98842623,23.14404897,26.62096245,26.16673399,26.16673399,26.63141898
GAGE1 ,27.12219839,23.71446828,24.71163137,23.48438977,26.84797599,27.82979058
SIM2,26.00935477,25.04926988,27.96474776,24.58195725,25.58603891,24.51780642
CNGB1,23.80216337,24.69045037,27.65662177,26.27270927,26.83129306,24.41599496
KCNA5,25.28874752,26.27554319,24.138893,25.4752368,26.94257943,25.4752368
PDZK1,25.06986667,27.08835437,27.29024247,27.60246673,22.48120274,24.06367639
ESRRB,24.03742139,26.47241805,22.01497032,26.59980131,28.74185944,25.70930562
KEL,22.57163309,25.925292,25.38015102,28.18710036,25.75598996,25.74018424
DLG2,26.05455039,25.72702073,26.748717,24.39407592,25.62045648,24.97755425
FMNL2,23.79752916,24.88303163,24.88303163,24.88303163,30.425602,24.63723154
CD1A,23.32177306,23.57206477,27.484434,25.40261461,28.65644363,25.06677648
TRPC5,23.70085474,23.46766022,27.88661881,27.83371853,25.05014869,25.56492156
CLDN14,22.97541667,26.61618452,30.07298311,26.61618452,26.30078546,20.91990148
IL19,27.45509287,25.4752368,25.4752368,21.58073469,28.02736544,25.4752368
CUTL2,25.01502663,31.84990322,22.14988937,22.59617796,21.97035125,29.8768066
LBA1,25.605205,25.605205,25.605205,25.605205,25.4248142,25.605205
ARC,29.8768066,31.90635629,24.06479477,22.06563467,21.6076364,23.92277495
HOXA3,25.06127599,24.41939567,24.36423981,25.57972069,28.87945353,25.06127599
ZNF286,24.96185393,24.71986471,28.30165464,24.4106132,25.4752368,25.4752368
SCN4A,22.26581783,26.21306189,27.54650603,25.85775309,25.59904532,25.85775309
SUZ12P,25.79964081,25.79964081,24.30596855,26.03036414,27.97279745,23.40030612
EPHA5,25.79505429,25.79505429,25.79505429,26.90944538,23.54952487,25.43552355
KIR3DL3,25.05869236,27.49683022,23.92007074,24.65292726,27.40611784,24.74158347
CYBB,25.25623018,25.25623018,21.4625039,28.08665277,27.25964043,25.93057693
CCR7,27.02733604,26.98263772,27.80274852,25.93312516,21.75489672,23.74303855
C3orf32,23.98174942,24.80155649,22.95603828,25.2216325,30.47436862,25.78985574
ATXN7L1,27.43887035,26.8400982,23.95067127,24.78179941,25.31549355,24.87779017
FARP2,29.44388446,26.21753333,23.73542081,22.54828986,22.77576924,28.48350536
