Protein	Count	Glycan
Q922J6	13	HexNAc(4)Hex(5)Fuc(3)NeuAc(1);HexNAc(3)Hex(6)Fuc(1)NeuAc(1);HexNAc(4)Hex(6)Fuc(1);HexNAc(4)Hex(4)Fuc(1)NeuAc(1);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(6)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(4)Hex(3)Fuc(1);HexNAc(3)Hex(3)Fuc(1);HexNAc(4)Hex(4)Fuc(1);HexNAc(4)Hex(5)Fuc(1)NeuAc(2);HexNAc(4)Hex(5)Fuc(1)NeuAc(1);HexNAc(5)Hex(3)Fuc(1)
Q921T2	3	HexNAc(2)Hex(8);HexNAc(2)Hex(6);HexNAc(2)Hex(7)
Q921M7	1	HexNAc(2)Hex(5)
Q920V1	1	HexNAc(2)Hex(9)
Q920P3	5	HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(8)Hex(5);HexNAc(6)Hex(3)Fuc(1)NeuAc(2);HexNAc(2)Hex(8)
Q91ZX7	34	HexNAc(4)Hex(5)Fuc(1);HexNAc(1);HexNAc(2)Hex(5);HexNAc(4)Hex(5);HexNAc(3)Hex(5);HexNAc(3)Hex(5)Fuc(1);HexNAc(2)Hex(5)Fuc(1);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(4);HexNAc(4)Hex(4)Fuc(1)NeuAc(1);HexNAc(4)Hex(4)Fuc(2);HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(3)Fuc(1);HexNAc(4)Hex(5)Fuc(1)NeuAc(1);HexNAc(2)Hex(3);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(3)Hex(4)Fuc(1)NeuAc(1);HexNAc(3)Hex(4)Fuc(2);HexNAc(4)Hex(3)Fuc(1);HexNAc(6)Hex(4);HexNAc(3)Hex(4);HexNAc(2)Hex(2)Fuc(1);HexNAc(3)Hex(6)Fuc(1)NeuAc(1);HexNAc(2)Hex(2);HexNAc(2)Hex(1);HexNAc(6)Hex(3);HexNAc(3)Hex(6)NeuAc(1);HexNAc(3)Hex(6)Fuc(1);HexNAc(4)Hex(6)Fuc(1);HexNAc(2)Hex(4)Fuc(1);HexNAc(2)Fuc(1);HexNAc(3)Hex(4)Fuc(1)
Q91ZW2	2	HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q91YY2	2	HexNAc(2)Hex(6);HexNAc(2)Hex(8)
Q91YQ5	5	HexNAc(6)Hex(3);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q91XZ0	1	HexNAc(2)Hex(5)
Q91XY5	1	HexNAc(2)Hex(5)
Q91XY0	1	HexNAc(2)Hex(5)
Q91XW9	1	HexNAc(2)Hex(5)
Q91XD7	2	HexNAc(2)Hex(5);HexNAc(2)Hex(6)
Q91X78	1	HexNAc(2)Hex(9)
Q91VX5	5	HexNAc(4)Hex(5)Fuc(1)NeuAc(1);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(8)
Q91VF5	1	HexNAc(2)Hex(5)
Q91V24	4	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(5)
