nodeName	altName	nodeAttr[nodesPresent, ]
Wbp4	NA	16
Wdr12	NA	5
Wdr3	NA	2
Wdr36	NA	2
Wdr43	NA	2
Wdr46	NA	2
Wdr74	NA	5
Wdr75	NA	2
Wdr77	NA	109
Wee1	NA	8
Whsc1	NA	36
Wibg	NA	122
Wwp2	NA	79
Xpot	NA	56
Xpr1	NA	144
Yars2	NA	37
Ybx1	NA	16
Ybx3	NA	16
Yme1l1	NA	139
Yod1	NA	30
Zc3h15	NA	63
Zc3h8	NA	18
Zcchc2	NA	68
Zcchc7	NA	68
Zcchc9	NA	68
Zdhhc5	NA	123
Zfp106	NA	15
Zfp277	NA	13
Zfp36l2	NA	51
Znf22	NA	15
Znf281	NA	15
Znf593	NA	5
Znf800	NA	15
Znhit3	NA	99
Znhit6	NA	99
Znrd1	NA	10
Zpr1	NA	17
Zw10	NA	58
Zwint	NA	94
