"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL24",0,-1.278752033881,0.753,0.883,0,"High.ISGs","RPL24"
"RPL12",0,-1.27896728544675,0.934,0.946,0,"High.ISGs","RPL12"
"RPL6",0,-1.33039481643613,0.743,0.927,0,"High.ISGs","RPL6"
"HNRNPA1",0,-1.34106882678583,0.421,0.626,0,"High.ISGs","HNRNPA1"
"RPL30",0,-1.36271420706993,0.898,0.948,0,"High.ISGs","RPL30"
"RPL15",0,-1.37416894908806,0.941,0.994,0,"High.ISGs","RPL15"
"RPS20",0,-1.38711087127621,0.798,0.902,0,"High.ISGs","RPS20"
"RPS29",0,-1.38748162947469,0.306,0.523,0,"High.ISGs","RPS29"
"RPLP2",0,-1.39039227647994,0.95,0.968,0,"High.ISGs","RPLP2"
"RPL11",0,-1.39662436781441,0.97,0.985,0,"High.ISGs","RPL11"
"RPS13",0,-1.4064704975525,0.926,0.976,0,"High.ISGs","RPS13"
"RPL10",0,-1.40810252330479,0.987,0.992,0,"High.ISGs","RPL10"
"RPL19",0,-1.43243052203661,0.956,0.984,0,"High.ISGs","RPL19"
"HINT1",0,-1.46013503817397,0.419,0.665,0,"High.ISGs","HINT1"
"RPS7",0,-1.46725174759368,0.783,0.936,0,"High.ISGs","RPS7"
"RPL4",0,-1.46726369094139,0.538,0.767,0,"High.ISGs","RPL4"
"ARHGDIB",0,-1.47437321514368,0.466,0.735,0,"High.ISGs","ARHGDIB"
"RPS15",0,-1.47972376579043,0.912,0.97,0,"High.ISGs","RPS15"
"EEF2",0,-1.48050540829879,0.377,0.624,0,"High.ISGs","EEF2"
"RPS23",0,-1.48339757850985,0.859,0.946,0,"High.ISGs","RPS23"
"GLTSCR2",0,-1.50887233879533,0.314,0.564,0,"High.ISGs","GLTSCR2"
"RPL7A",0,-1.52501788085584,0.632,0.837,0,"High.ISGs","RPL7A"
"RPS19",0,-1.53226150433136,0.974,0.994,0,"High.ISGs","RPS19"
"EIF3E",0,-1.543538248268,0.174,0.434,0,"High.ISGs","EIF3E"
"BTG1",0,-1.54631617385358,0.59,0.879,0,"High.ISGs","BTG1"
"RPL27A",0,-1.54736518519386,0.875,0.956,0,"High.ISGs","RPL27A"
"RPS2",0,-1.54967912906845,0.985,0.995,0,"High.ISGs","RPS2"
"RPL35A",0,-1.56837789762233,0.859,0.954,0,"High.ISGs","RPL35A"
"RPL18A",0,-1.57141578506452,0.949,0.987,0,"High.ISGs","RPL18A"
"PABPC1",0,-1.57501020610432,0.827,0.888,0,"High.ISGs","PABPC1"
"TMEM66",0,-1.59862351580899,0.639,0.826,0,"High.ISGs","TMEM66"
"RPS8",0,-1.62492435147242,0.809,0.93,0,"High.ISGs","RPS8"
"RPS12",0,-1.63615027405645,0.928,0.97,0,"High.ISGs","RPS12"
"EEF1B2",0,-1.64023171015679,0.421,0.688,0,"High.ISGs","EEF1B2"
"RPL9",0,-1.64237184295589,0.857,0.962,0,"High.ISGs","RPL9"
"SNRPD2",0,-1.67066017516758,0.223,0.518,0,"High.ISGs","SNRPD2"
"RPS25",0,-1.67219169607039,0.709,0.895,0,"High.ISGs","RPS25"
"RPL36",0,-1.68891979083759,0.591,0.834,0,"High.ISGs","RPL36"
"RPL23A",0,-1.68930497392878,0.878,0.97,0,"High.ISGs","RPL23A"
"RPL35",0,-1.69029077541878,0.69,0.901,0,"High.ISGs","RPL35"
"RPS3A",0,-1.69575271088883,0.917,0.988,0,"High.ISGs","RPS3A"
"RPL18",0,-1.69709407149647,0.799,0.954,0,"High.ISGs","RPL18"
"RPS4X",0,-1.69801852471242,0.958,0.986,0,"High.ISGs","RPS4X"
"RPL32",0,-1.70142238686902,0.973,0.99,0,"High.ISGs","RPL32"
"RPL7",0,-1.71796174474286,0.891,0.988,0,"High.ISGs","RPL7"
"RPL14",0,-1.72508547734115,0.771,0.949,0,"High.ISGs","RPL14"
"PTPRCAP",0,-1.72542336432285,0.029,0.274,0,"High.ISGs","PTPRCAP"
"RPL34",0,-1.73134267128437,0.924,0.979,0,"High.ISGs","RPL34"
"RPS14",0,-1.73615570040222,0.962,0.991,0,"High.ISGs","RPS14"
"GIMAP5",0,-1.76414979727305,0.114,0.366,0,"High.ISGs","GIMAP5"
"RPL31",0,-1.78138975610911,0.838,0.953,0,"High.ISGs","RPL31"
"CLEC2D",0,-1.79134238677437,0.07,0.369,0,"High.ISGs","CLEC2D"
"RPS27A",0,-1.79255632930977,0.941,0.989,0,"High.ISGs","RPS27A"
"RPS3",0,-1.81243027661828,0.944,0.99,0,"High.ISGs","RPS3"
"RPL13",0,-1.83669147906424,0.985,0.994,0,"High.ISGs","RPL13"
"RPL13A",0,-1.83769304009194,0.968,0.994,0,"High.ISGs","RPL13A"
"ZFP36L2",0,-1.84389970406161,0.188,0.481,0,"High.ISGs","ZFP36L2"
"GTF3A",0,-1.86310148725018,0.103,0.402,0,"High.ISGs","GTF3A"
"RPS15A",0,-1.86817730135016,0.82,0.967,0,"High.ISGs","RPS15A"
"RPS27",0,-1.86900913138723,0.866,0.977,0,"High.ISGs","RPS27"
"RPLP0",0,-1.91731763599008,0.592,0.87,0,"High.ISGs","RPLP0"
"RPL21",0,-1.91856706995689,0.952,0.996,0,"High.ISGs","RPL21"
"TRAT1",0,-1.93029964841245,0.034,0.294,0,"High.ISGs","TRAT1"
"EIF4A2",0,-1.94841052146384,0.225,0.581,0,"High.ISGs","EIF4A2"
"RPS18",0,-1.96586491526933,0.966,0.993,0,"High.ISGs","RPS18"
"RPL10A",0,-1.97371827788051,0.593,0.892,0,"High.ISGs","RPL10A"
"RPS6",0,-1.98952752922162,0.938,0.994,0,"High.ISGs","RPS6"
"RPS5",0,-2.01239748428162,0.726,0.939,0,"High.ISGs","RPS5"
"RPL5",0,-2.03124023345605,0.453,0.83,0,"High.ISGs","RPL5"
"CD2",0,-2.10008378626232,0.054,0.376,0,"High.ISGs","CD2"
"RPSA",0,-2.14907056964327,0.482,0.845,0,"High.ISGs","RPSA"
"PTMA",0,-2.15441974607509,0.776,0.987,0,"High.ISGs","PTMA"
"RPL3",0,-2.16205724457914,0.909,0.981,0,"High.ISGs","RPL3"
